Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,5.721937E+03,0.000000E+00,5.612121E-01
00:20:00,0.000000E+00,5.163031E+03,0.000000E+00,5.063914E-01
00:30:00,0.000000E+00,4.599386E+03,0.000000E+00,4.511053E-01
00:40:00,0.000000E+00,4.034122E+03,0.000000E+00,3.956599E-01
00:50:00,0.000000E+00,3.468995E+03,0.000000E+00,3.402276E-01
01:00:00,0.000000E+00,2.904845E+03,0.000000E+00,2.848908E-01
01:10:00,0.000000E+00,2.840176E+03,0.000000E+00,2.785432E-01
01:20:00,0.000000E+00,2.786509E+03,0.000000E+00,2.732772E-01
01:30:00,0.000000E+00,2.737277E+03,0.000000E+00,2.684468E-01
01:40:00,0.000000E+00,2.689395E+03,0.000000E+00,2.637493E-01
01:50:00,0.000000E+00,2.641638E+03,0.000000E+00,2.590644E-01
02:00:00,0.000000E+00,2.593001E+03,0.000000E+00,2.542935E-01
02:10:00,0.000000E+00,2.548332E+03,0.000000E+00,2.499120E-01
02:20:00,0.000000E+00,2.507126E+03,0.000000E+00,2.458703E-01
02:30:00,0.000000E+00,2.469839E+03,0.000000E+00,2.422130E-01
02:40:00,0.000000E+00,2.436664E+03,0.000000E+00,2.389592E-01
02:50:00,0.000000E+00,2.407323E+03,0.000000E+00,2.360814E-01
03:00:00,0.000000E+00,2.381852E+03,0.000000E+00,2.335833E-01
03:10:00,0.000000E+00,2.356461E+03,0.000000E+00,2.310930E-01
03:20:00,0.000000E+00,2.330953E+03,0.000000E+00,2.285913E-01
03:30:00,0.000000E+00,2.305181E+03,0.000000E+00,2.260637E-01
03:40:00,0.000000E+00,2.279073E+03,0.000000E+00,2.235033E-01
03:50:00,0.000000E+00,2.252604E+03,0.000000E+00,2.209074E-01
04:00:00,0.000000E+00,2.225776E+03,0.000000E+00,2.182763E-01
04:10:00,0.000000E+00,2.202322E+03,0.000000E+00,2.159762E-01
04:20:00,0.000000E+00,2.182394E+03,0.000000E+00,2.140219E-01
04:30:00,0.000000E+00,2.166150E+03,0.000000E+00,2.124288E-01
04:40:00,0.000000E+00,2.153692E+03,0.000000E+00,2.112071E-01
04:50:00,0.000000E+00,2.145103E+03,0.000000E+00,2.103647E-01
05:00:00,0.000000E+00,2.140446E+03,0.000000E+00,2.099080E-01
05:10:00,0.000000E+00,2.134777E+03,0.000000E+00,2.093520E-01
05:20:00,0.000000E+00,2.127981E+03,0.000000E+00,2.086856E-01
05:30:00,0.000000E+00,2.119905E+03,0.000000E+00,2.078935E-01
05:40:00,0.000000E+00,2.121742E+03,0.000000E+00,2.080737E-01
05:50:00,0.000000E+00,2.137070E+03,0.000000E+00,2.095769E-01
06:00:00,0.000000E+00,2.165579E+03,0.000000E+00,2.123727E-01
06:10:00,0.000000E+00,2.212108E+03,0.000000E+00,2.169357E-01
06:20:00,0.000000E+00,2.277095E+03,0.000000E+00,2.233088E-01
06:30:00,0.000000E+00,2.360773E+03,0.000000E+00,2.315149E-01
06:40:00,0.000000E+00,2.455418E+03,0.000000E+00,2.407965E-01
06:50:00,0.000000E+00,2.558547E+03,0.000000E+00,2.509101E-01
07:00:00,0.000000E+00,2.674780E+03,0.000000E+00,2.623088E-01
07:10:00,0.000000E+00,2.801544E+03,0.000000E+00,2.747403E-01
07:20:00,0.000000E+00,2.938880E+03,0.000000E+00,2.882085E-01
07:30:00,0.000000E+00,3.087516E+03,0.000000E+00,3.027849E-01
07:40:00,0.000000E+00,3.236830E+03,0.000000E+00,3.174277E-01
07:50:00,0.000000E+00,3.383642E+03,0.000000E+00,3.318253E-01
08:00:00,0.000000E+00,3.522036E+03,0.000000E+00,3.453971E-01
08:10:00,1.114949E+03,3.651315E+03,3.382383E-02,3.580751E-01
08:20:00,1.365676E+03,3.769935E+03,4.203184E-02,3.697079E-01
08:30:00,2.203778E+03,3.876089E+03,6.943086E-02,3.801182E-01
08:40:00,2.383606E+03,3.969219E+03,7.531110E-02,3.892511E-01
08:50:00,2.599341E+03,4.048419E+03,8.236375E-02,3.970180E-01
09:00:00,2.783295E+03,4.113130E+03,8.837751E-02,4.033640E-01
09:10:00,1.668346E+03,4.398823E+03,5.455368E-02,4.313812E-01
09:20:00,1.417619E+03,4.675639E+03,4.634567E-02,4.585279E-01
09:30:00,5.795169E+02,4.938208E+03,1.894665E-02,4.842786E-01
09:40:00,3.996890E+02,5.190729E+03,1.306641E-02,5.090459E-01
09:50:00,1.839542E+02,5.434055E+03,6.013759E-03,5.329131E-01
10:00:00,0.000000E+00,5.670362E+03,0.000000E+00,5.560931E-01
10:10:00,0.000000E+00,5.665765E+03,0.000000E+00,5.556490E-01
10:20:00,0.000000E+00,5.652180E+03,0.000000E+00,5.543238E-01
10:30:00,0.000000E+00,5.637957E+03,0.000000E+00,5.529352E-01
10:40:00,0.000000E+00,5.624028E+03,0.000000E+00,5.515737E-01
10:50:00,0.000000E+00,5.613203E+03,0.000000E+00,5.505152E-01
11:00:00,0.000000E+00,5.605708E+03,0.000000E+00,5.497821E-01
11:10:00,0.000000E+00,5.598864E+03,0.000000E+00,5.491122E-01
11:20:00,0.000000E+00,5.594195E+03,0.000000E+00,5.486552E-01
