Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,5.117266E+03,0.000000E+00,5.019081E-01
00:20:00,0.000000E+00,4.658651E+03,0.000000E+00,4.569237E-01
00:30:00,0.000000E+00,4.191814E+03,0.000000E+00,4.111324E-01
00:40:00,0.000000E+00,3.718947E+03,0.000000E+00,3.647492E-01
00:50:00,0.000000E+00,3.241310E+03,0.000000E+00,3.178976E-01
01:00:00,0.000000E+00,2.759886E+03,0.000000E+00,2.706744E-01
01:10:00,0.000000E+00,2.702837E+03,0.000000E+00,2.650743E-01
01:20:00,0.000000E+00,2.654252E+03,0.000000E+00,2.603069E-01
01:30:00,0.000000E+00,2.609238E+03,0.000000E+00,2.558902E-01
01:40:00,0.000000E+00,2.565858E+03,0.000000E+00,2.516342E-01
01:50:00,0.000000E+00,2.522967E+03,0.000000E+00,2.474265E-01
02:00:00,0.000000E+00,2.479648E+03,0.000000E+00,2.431772E-01
02:10:00,0.000000E+00,2.437684E+03,0.000000E+00,2.390610E-01
02:20:00,0.000000E+00,2.396548E+03,0.000000E+00,2.350262E-01
02:30:00,0.000000E+00,2.356512E+03,0.000000E+00,2.310994E-01
02:40:00,0.000000E+00,2.317340E+03,0.000000E+00,2.272575E-01
02:50:00,0.000000E+00,2.278925E+03,0.000000E+00,2.234898E-01
03:00:00,0.000000E+00,2.241204E+03,0.000000E+00,2.197903E-01
03:10:00,0.000000E+00,2.205140E+03,0.000000E+00,2.162533E-01
03:20:00,0.000000E+00,2.170424E+03,0.000000E+00,2.128487E-01
03:30:00,0.000000E+00,2.137340E+03,0.000000E+00,2.096040E-01
03:40:00,0.000000E+00,2.105925E+03,0.000000E+00,2.065231E-01
03:50:00,0.000000E+00,2.076196E+03,0.000000E+00,2.036076E-01
04:00:00,0.000000E+00,2.048164E+03,0.000000E+00,2.008585E-01
04:10:00,0.000000E+00,2.028698E+03,0.000000E+00,1.989494E-01
04:20:00,0.000000E+00,2.018940E+03,0.000000E+00,1.979924E-01
04:30:00,0.000000E+00,2.019627E+03,0.000000E+00,1.980597E-01
04:40:00,0.000000E+00,2.030959E+03,0.000000E+00,1.991709E-01
04:50:00,0.000000E+00,2.053323E+03,0.000000E+00,2.013642E-01
05:00:00,0.000000E+00,2.087051E+03,0.000000E+00,2.046718E-01
05:10:00,0.000000E+00,2.117085E+03,0.000000E+00,2.076171E-01
05:20:00,0.000000E+00,2.142131E+03,0.000000E+00,2.100733E-01
05:30:00,0.000000E+00,2.160881E+03,0.000000E+00,2.119120E-01
05:40:00,0.000000E+00,2.181210E+03,0.000000E+00,2.139057E-01
05:50:00,0.000000E+00,2.205294E+03,0.000000E+00,2.162675E-01
06:00:00,0.000000E+00,2.232387E+03,0.000000E+00,2.189245E-01
06:10:00,0.000000E+00,2.269327E+03,0.000000E+00,2.225470E-01
06:20:00,0.000000E+00,2.316653E+03,0.000000E+00,2.271881E-01
06:30:00,0.000000E+00,2.374779E+03,0.000000E+00,2.328885E-01
06:40:00,0.000000E+00,2.445610E+03,0.000000E+00,2.398346E-01
06:50:00,0.000000E+00,2.527092E+03,0.000000E+00,2.478254E-01
07:00:00,0.000000E+00,2.621144E+03,0.000000E+00,2.570489E-01
07:10:00,0.000000E+00,2.732212E+03,0.000000E+00,2.679410E-01
07:20:00,0.000000E+00,2.863446E+03,0.000000E+00,2.808109E-01
07:30:00,0.000000E+00,3.016106E+03,0.000000E+00,2.957819E-01
07:40:00,0.000000E+00,3.167572E+03,0.000000E+00,3.106358E-01
07:50:00,0.000000E+00,3.313175E+03,0.000000E+00,3.249147E-01
08:00:00,0.000000E+00,3.449117E+03,0.000000E+00,3.382462E-01
08:10:00,1.297344E+03,3.567685E+03,3.889610E-02,3.498738E-01
08:20:00,1.618682E+03,3.664190E+03,4.941829E-02,3.593378E-01
08:30:00,2.621073E+03,3.736006E+03,8.218829E-02,3.663806E-01
08:40:00,2.856742E+03,3.797764E+03,8.989468E-02,3.724370E-01
08:50:00,3.139763E+03,3.852996E+03,9.914711E-02,3.778534E-01
09:00:00,3.387923E+03,3.902641E+03,1.072600E-01,3.827219E-01
09:10:00,2.090578E+03,4.184966E+03,6.836386E-02,4.104087E-01
09:20:00,1.769241E+03,4.472558E+03,5.784168E-02,4.386122E-01
09:30:00,7.668500E+02,4.759644E+03,2.507167E-02,4.667673E-01
09:40:00,5.311805E+02,5.037526E+03,1.736529E-02,4.940216E-01
09:50:00,2.481598E+02,5.303953E+03,8.112849E-03,5.201542E-01
10:00:00,0.000000E+00,5.558923E+03,0.000000E+00,5.451643E-01
10:10:00,0.000000E+00,5.565028E+03,0.000000E+00,5.457697E-01
10:20:00,0.000000E+00,5.551075E+03,0.000000E+00,5.444082E-01
10:30:00,0.000000E+00,5.526615E+03,0.000000E+00,5.420154E-01
10:40:00,0.000000E+00,5.498223E+03,0.000000E+00,5.392354E-01
10:50:00,0.000000E+00,5.470242E+03,0.000000E+00,5.364941E-01
11:00:00,0.000000E+00,5.446110E+03,0.000000E+00,5.341293E-01
11:10:00,0.000000E+00,5.427740E+03,0.000000E+00,5.323289E-01
11:20:00,0.000000E+00,5.417203E+03,0.000000E+00,5.312964E-01
11:30:00,0.000000E+00,5.411958E+03,0.000000E+00,5.307827E-01
11:40:00,0.000000E+00,5.415477E+03,0.000000E+00,5.311285E-01
11:50:00,0.000000E+00,5.425107E+03,0.000000E+00,5.320735E-01
12:00:00,0.000000E+00,5.437118E+03,0.000000E+00,5.332518E-01
12:10:00,0.000000E+00,5.448938E+03,0.000000E+00,5.344115E-01
12:20:00,0.000000E+00,5.457664E+03,0.000000E+00,5.352675E-01
12:30:00,0.000000E+00,5.466549E+03,0.000000E+00,5.361391E-01
12:40:00,0.000000E+00,5.473692E+03,0.000000E+00,5.368398E-01
12:50:00,0.000000E+00,5.479705E+03,0.000000E+00,5.374295E-01
13:00:00,0.000000E+00,5.484854E+03,0.000000E+00,5.379346E-01
13:10:00,0.000000E+00,5.493211E+03,0.000000E+00,5.387541E-01
13:20:00,0.000000E+00,5.505861E+03,0.000000E+00,5.399948E-01
13:30:00,0.000000E+00,5.520708E+03,0.000000E+00,5.414511E-01
13:40:00,0.000000E+00,5.539100E+03,0.000000E+00,5.432549E-01
13:50:00,0.000000E+00,5.564478E+03,0.000000E+00,5.457439E-01
14:00:00,0.000000E+00,5.600710E+03,0.000000E+00,5.492975E-01
14:10:00,0.000000E+00,5.646202E+03,0.000000E+00,5.537593E-01
14:20:00,0.000000E+00,5.701850E+03,0.000000E+00,5.592173E-01
14:30:00,0.000000E+00,5.767127E+03,0.000000E+00,5.656196E-01
14:40:00,0.000000E+00,5.837944E+03,0.000000E+00,5.725653E-01
14:50:00,0.000000E+00,5.911663E+03,0.000000E+00,5.797956E-01
15:00:00,0.000000E+00,5.986240E+03,0.000000E+00,5.871099E-01
15:10:00,0.000000E+00,6.064147E+03,0.000000E+00,5.947508E-01
