Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,4.635158E+03,0.000000E+00,4.546189E-01
00:20:00,0.000000E+00,4.199447E+03,0.000000E+00,4.118820E-01
00:30:00,0.000000E+00,3.760058E+03,0.000000E+00,3.687838E-01
00:40:00,0.000000E+00,3.319447E+03,0.000000E+00,3.255652E-01
00:50:00,0.000000E+00,2.879024E+03,0.000000E+00,2.823648E-01
01:00:00,0.000000E+00,2.439422E+03,0.000000E+00,2.392446E-01
01:10:00,0.000000E+00,2.384478E+03,0.000000E+00,2.338516E-01
01:20:00,0.000000E+00,2.337745E+03,0.000000E+00,2.292659E-01
01:30:00,0.000000E+00,2.294368E+03,0.000000E+00,2.250100E-01
01:40:00,0.000000E+00,2.252242E+03,0.000000E+00,2.208771E-01
01:50:00,0.000000E+00,2.210455E+03,0.000000E+00,2.167779E-01
02:00:00,0.000000E+00,2.168099E+03,0.000000E+00,2.126231E-01
02:10:00,0.000000E+00,2.129566E+03,0.000000E+00,2.088435E-01
02:20:00,0.000000E+00,2.094618E+03,0.000000E+00,2.054158E-01
02:30:00,0.000000E+00,2.063266E+03,0.000000E+00,2.023407E-01
02:40:00,0.000000E+00,2.035367E+03,0.000000E+00,1.996044E-01
02:50:00,0.000000E+00,2.010646E+03,0.000000E+00,1.971798E-01
03:00:00,0.000000E+00,1.989273E+03,0.000000E+00,1.950836E-01
03:10:00,0.000000E+00,1.967971E+03,0.000000E+00,1.929944E-01
03:20:00,0.000000E+00,1.946560E+03,0.000000E+00,1.908946E-01
03:30:00,0.000000E+00,1.924912E+03,0.000000E+00,1.887714E-01
03:40:00,0.000000E+00,1.902962E+03,0.000000E+00,1.866188E-01
03:50:00,0.000000E+00,1.880687E+03,0.000000E+00,1.844342E-01
