Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,4.132694E+03,0.000000E+00,4.053391E-01
00:20:00,0.000000E+00,3.837510E+03,0.000000E+00,3.763849E-01
00:30:00,0.000000E+00,3.532132E+03,0.000000E+00,3.464302E-01
00:40:00,0.000000E+00,3.218626E+03,0.000000E+00,3.156777E-01
00:50:00,0.000000E+00,2.898027E+03,0.000000E+00,2.842290E-01
01:00:00,0.000000E+00,2.570944E+03,0.000000E+00,2.521440E-01
01:10:00,0.000000E+00,2.524254E+03,0.000000E+00,2.475601E-01
01:20:00,0.000000E+00,2.488784E+03,0.000000E+00,2.440787E-01
01:30:00,0.000000E+00,2.460090E+03,0.000000E+00,2.412625E-01
01:40:00,0.000000E+00,2.436217E+03,0.000000E+00,2.389195E-01
01:50:00,0.000000E+00,2.416229E+03,0.000000E+00,2.369580E-01
02:00:00,0.000000E+00,2.399392E+03,0.000000E+00,2.353057E-01
02:10:00,0.000000E+00,2.382736E+03,0.000000E+00,2.336716E-01
02:20:00,0.000000E+00,2.365880E+03,0.000000E+00,2.320179E-01
02:30:00,0.000000E+00,2.348516E+03,0.000000E+00,2.303146E-01
02:40:00,0.000000E+00,2.330382E+03,0.000000E+00,2.285358E-01
02:50:00,0.000000E+00,2.311256E+03,0.000000E+00,2.266599E-01
03:00:00,0.000000E+00,2.291169E+03,0.000000E+00,2.246898E-01
03:10:00,0.000000E+00,2.273850E+03,0.000000E+00,2.229912E-01
03:20:00,0.000000E+00,2.259397E+03,0.000000E+00,2.215737E-01
03:30:00,0.000000E+00,2.247913E+03,0.000000E+00,2.204473E-01
03:40:00,0.000000E+00,2.239481E+03,0.000000E+00,2.196203E-01
03:50:00,0.000000E+00,2.234161E+03,0.000000E+00,2.190986E-01
04:00:00,0.000000E+00,2.231997E+03,0.000000E+00,2.188863E-01
04:10:00,0.000000E+00,2.228610E+03,0.000000E+00,2.185540E-01
04:20:00,0.000000E+00,2.223813E+03,0.000000E+00,2.180836E-01
04:30:00,0.000000E+00,2.217459E+03,0.000000E+00,2.174605E-01
04:40:00,0.000000E+00,2.209514E+03,0.000000E+00,2.166813E-01
04:50:00,0.000000E+00,2.199909E+03,0.000000E+00,2.157393E-01
05:00:00,0.000000E+00,2.188599E+03,0.000000E+00,2.146302E-01
05:10:00,0.000000E+00,2.178781E+03,0.000000E+00,2.136674E-01
05:20:00,0.000000E+00,2.170598E+03,0.000000E+00,2.128648E-01
05:30:00,0.000000E+00,2.164151E+03,0.000000E+00,2.122326E-01
05:40:00,0.000000E+00,2.163838E+03,0.000000E+00,2.122019E-01
05:50:00,0.000000E+00,2.171284E+03,0.000000E+00,2.129321E-01
06:00:00,0.000000E+00,2.186589E+03,0.000000E+00,2.144330E-01
06:10:00,0.000000E+00,2.207009E+03,0.000000E+00,2.164355E-01
06:20:00,0.000000E+00,2.232564E+03,0.000000E+00,2.189416E-01
06:30:00,0.000000E+00,2.263217E+03,0.000000E+00,2.219478E-01
06:40:00,0.000000E+00,2.297002E+03,0.000000E+00,2.252609E-01
06:50:00,0.000000E+00,2.333260E+03,0.000000E+00,2.288167E-01
07:00:00,0.000000E+00,2.373072E+03,0.000000E+00,2.327210E-01
07:10:00,0.000000E+00,2.421270E+03,0.000000E+00,2.374477E-01
07:20:00,0.000000E+00,2.481984E+03,0.000000E+00,2.434017E-01
07:30:00,0.000000E+00,2.553369E+03,0.000000E+00,2.504023E-01
07:40:00,0.000000E+00,2.636477E+03,0.000000E+00,2.585525E-01
07:50:00,0.000000E+00,2.733928E+03,0.000000E+00,2.681092E-01
08:00:00,0.000000E+00,2.843294E+03,0.000000E+00,2.788344E-01
08:10:00,1.102663E+03,2.958683E+03,3.268520E-02,2.901504E-01
08:20:00,1.410781E+03,3.075800E+03,4.275780E-02,3.016358E-01
08:30:00,2.260156E+03,3.195071E+03,7.052511E-02,3.133324E-01
08:40:00,2.478129E+03,3.304584E+03,7.765281E-02,3.240720E-01
08:50:00,2.737803E+03,3.398241E+03,8.614207E-02,3.332567E-01
09:00:00,2.962512E+03,3.475118E+03,9.348831E-02,3.407958E-01
09:10:00,1.859849E+03,3.715357E+03,6.080311E-02,3.643554E-01
09:20:00,1.551731E+03,3.945672E+03,5.073051E-02,3.869418E-01
09:30:00,7.023556E+02,4.162161E+03,2.296320E-02,4.081735E-01
09:40:00,4.843826E+02,4.368605E+03,1.583550E-02,4.284218E-01
09:50:00,2.247087E+02,4.564841E+03,7.346241E-03,4.476704E-01
10:00:00,0.000000E+00,4.751368E+03,0.000000E+00,4.659679E-01
10:10:00,0.000000E+00,4.748457E+03,0.000000E+00,4.656882E-01
10:20:00,0.000000E+00,4.729018E+03,0.000000E+00,4.637878E-01
10:30:00,0.000000E+00,4.698619E+03,0.000000E+00,4.608115E-01
10:40:00,0.000000E+00,4.662839E+03,0.000000E+00,4.573059E-01
10:50:00,0.000000E+00,4.626103E+03,0.000000E+00,4.537053E-01
