Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.200263E+03,0.000000E+00,2.157996E-01
00:20:00,0.000000E+00,2.107881E+03,0.000000E+00,2.067381E-01
00:30:00,0.000000E+00,2.010150E+03,0.000000E+00,1.971514E-01
00:40:00,0.000000E+00,1.907830E+03,0.000000E+00,1.871139E-01
00:50:00,0.000000E+00,1.801332E+03,0.000000E+00,1.766662E-01
01:00:00,0.000000E+00,1.690892E+03,0.000000E+00,1.658316E-01
01:10:00,0.000000E+00,1.664622E+03,0.000000E+00,1.632523E-01
01:20:00,0.000000E+00,1.643434E+03,0.000000E+00,1.611720E-01
01:30:00,0.000000E+00,1.625465E+03,0.000000E+00,1.594080E-01
01:40:00,0.000000E+00,1.609943E+03,0.000000E+00,1.578846E-01
01:50:00,0.000000E+00,1.596441E+03,0.000000E+00,1.565598E-01
02:00:00,0.000000E+00,1.584706E+03,0.000000E+00,1.554085E-01
02:10:00,0.000000E+00,1.573010E+03,0.000000E+00,1.542613E-01
02:20:00,0.000000E+00,1.561114E+03,0.000000E+00,1.530945E-01
02:30:00,0.000000E+00,1.548861E+03,0.000000E+00,1.518928E-01
02:40:00,0.000000E+00,1.536143E+03,0.000000E+00,1.506455E-01
02:50:00,0.000000E+00,1.522884E+03,0.000000E+00,1.493452E-01
03:00:00,0.000000E+00,1.509034E+03,0.000000E+00,1.479869E-01
03:10:00,0.000000E+00,1.496869E+03,0.000000E+00,1.467940E-01
03:20:00,0.000000E+00,1.486553E+03,0.000000E+00,1.457822E-01
03:30:00,0.000000E+00,1.478180E+03,0.000000E+00,1.449612E-01
03:40:00,0.000000E+00,1.471823E+03,0.000000E+00,1.443377E-01
03:50:00,0.000000E+00,1.467531E+03,0.000000E+00,1.439167E-01
04:00:00,0.000000E+00,1.465336E+03,0.000000E+00,1.437015E-01
04:10:00,0.000000E+00,1.462578E+03,0.000000E+00,1.434310E-01
04:20:00,0.000000E+00,1.459021E+03,0.000000E+00,1.430822E-01
04:30:00,0.000000E+00,1.454530E+03,0.000000E+00,1.426418E-01
04:40:00,0.000000E+00,1.449050E+03,0.000000E+00,1.421044E-01
