Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.029531E+03,0.000000E+00,1.990547E-01
00:20:00,0.000000E+00,1.938065E+03,0.000000E+00,1.900830E-01
00:30:00,0.000000E+00,1.841365E+03,0.000000E+00,1.805974E-01
00:40:00,0.000000E+00,1.740165E+03,0.000000E+00,1.706701E-01
00:50:00,0.000000E+00,1.634865E+03,0.000000E+00,1.603402E-01
01:00:00,0.000000E+00,1.525695E+03,0.000000E+00,1.496304E-01
01:10:00,0.000000E+00,1.500976E+03,0.000000E+00,1.472034E-01
01:20:00,0.000000E+00,1.481178E+03,0.000000E+00,1.452598E-01
01:30:00,0.000000E+00,1.464530E+03,0.000000E+00,1.436256E-01
01:40:00,0.000000E+00,1.450283E+03,0.000000E+00,1.422272E-01
01:50:00,0.000000E+00,1.438019E+03,0.000000E+00,1.410238E-01
02:00:00,0.000000E+00,1.427490E+03,0.000000E+00,1.399909E-01
02:10:00,0.000000E+00,1.416991E+03,0.000000E+00,1.389610E-01
02:20:00,0.000000E+00,1.406292E+03,0.000000E+00,1.379116E-01
02:30:00,0.000000E+00,1.395240E+03,0.000000E+00,1.368276E-01
02:40:00,0.000000E+00,1.383727E+03,0.000000E+00,1.356985E-01
02:50:00,0.000000E+00,1.371680E+03,0.000000E+00,1.345171E-01
03:00:00,0.000000E+00,1.359050E+03,0.000000E+00,1.332784E-01
03:10:00,0.000000E+00,1.348083E+03,0.000000E+00,1.322029E-01
03:20:00,0.000000E+00,1.338930E+03,0.000000E+00,1.313053E-01
03:30:00,0.000000E+00,1.331685E+03,0.000000E+00,1.305948E-01
03:40:00,0.000000E+00,1.326416E+03,0.000000E+00,1.300780E-01
03:50:00,0.000000E+00,1.323171E+03,0.000000E+00,1.297598E-01
04:00:00,0.000000E+00,1.321983E+03,0.000000E+00,1.296433E-01
04:10:00,0.000000E+00,1.320224E+03,0.000000E+00,1.294708E-01
04:20:00,0.000000E+00,1.317675E+03,0.000000E+00,1.292208E-01
04:30:00,0.000000E+00,1.314199E+03,0.000000E+00,1.288800E-01
04:40:00,0.000000E+00,1.309745E+03,0.000000E+00,1.284431E-01
04:50:00,0.000000E+00,1.304252E+03,0.000000E+00,1.279045E-01
05:00:00,0.000000E+00,1.297681E+03,0.000000E+00,1.272601E-01
05:10:00,0.000000E+00,1.291920E+03,0.000000E+00,1.266951E-01
05:20:00,0.000000E+00,1.287122E+03,0.000000E+00,1.262246E-01
05:30:00,0.000000E+00,1.283380E+03,0.000000E+00,1.258576E-01
05:40:00,0.000000E+00,1.283567E+03,0.000000E+00,1.258760E-01
05:50:00,0.000000E+00,1.288995E+03,0.000000E+00,1.264083E-01
06:00:00,0.000000E+00,1.299913E+03,0.000000E+00,1.274790E-01
06:10:00,0.000000E+00,1.314772E+03,0.000000E+00,1.289362E-01
06:20:00,0.000000E+00,1.333604E+03,0.000000E+00,1.307829E-01
06:30:00,0.000000E+00,1.356432E+03,0.000000E+00,1.330217E-01
06:40:00,0.000000E+00,1.382113E+03,0.000000E+00,1.355401E-01
06:50:00,0.000000E+00,1.410342E+03,0.000000E+00,1.383084E-01
07:00:00,0.000000E+00,1.440998E+03,0.000000E+00,1.413148E-01
07:10:00,0.000000E+00,1.476968E+03,0.000000E+00,1.448423E-01
07:20:00,0.000000E+00,1.520836E+03,0.000000E+00,1.491443E-01
07:30:00,0.000000E+00,1.571427E+03,0.000000E+00,1.541056E-01
07:40:00,0.000000E+00,1.629119E+03,0.000000E+00,1.597633E-01
07:50:00,0.000000E+00,1.695195E+03,0.000000E+00,1.662432E-01
08:00:00,0.000000E+00,1.768778E+03,0.000000E+00,1.734594E-01
08:10:00,5.718172E+02,1.846189E+03,1.628506E-02,1.810508E-01
08:20:00,7.589902E+02,1.924591E+03,2.255663E-02,1.887395E-01
08:30:00,1.181816E+03,2.004184E+03,3.637920E-02,1.965449E-01
08:40:00,1.362674E+03,2.077656E+03,4.229289E-02,2.037502E-01
08:50:00,1.537228E+03,2.140837E+03,4.799960E-02,2.099461E-01
09:00:00,1.688347E+03,2.192968E+03,5.294003E-02,2.150584E-01
09:10:00,1.177653E+03,2.295046E+03,3.865323E-02,2.250690E-01
09:20:00,1.028820E+03,2.388663E+03,3.363498E-02,2.342498E-01
09:30:00,6.239932E+02,2.472205E+03,2.040079E-02,2.424432E-01
09:40:00,4.446492E+02,2.548244E+03,1.453659E-02,2.499020E-01
09:50:00,2.700950E+02,2.617057E+03,8.829883E-03,2.566529E-01
10:00:00,1.189767E+02,2.679112E+03,3.889448E-03,2.627414E-01
10:10:00,5.785256E+01,2.673659E+03,1.891194E-03,2.622098E-01
10:20:00,1.951299E+01,2.658913E+03,6.378719E-04,2.607668E-01
10:30:00,1.513855E+00,2.637515E+03,4.948686E-05,2.586706E-01
10:40:00,0.000000E+00,2.612633E+03,0.000000E+00,2.562318E-01
10:50:00,0.000000E+00,2.586948E+03,0.000000E+00,2.537134E-01
11:00:00,0.000000E+00,2.562946E+03,0.000000E+00,2.513596E-01
11:10:00,0.000000E+00,2.543182E+03,0.000000E+00,2.494213E-01
11:20:00,0.000000E+00,2.529579E+03,0.000000E+00,2.480874E-01
11:30:00,0.000000E+00,2.523282E+03,0.000000E+00,2.474699E-01
11:40:00,0.000000E+00,2.525387E+03,0.000000E+00,2.476765E-01
11:50:00,0.000000E+00,2.534011E+03,0.000000E+00,2.485224E-01
12:00:00,0.000000E+00,2.548093E+03,0.000000E+00,2.499036E-01
12:10:00,0.000000E+00,2.565152E+03,0.000000E+00,2.515769E-01
12:20:00,0.000000E+00,2.583039E+03,0.000000E+00,2.533312E-01
12:30:00,0.000000E+00,2.602267E+03,0.000000E+00,2.552171E-01
12:40:00,0.000000E+00,2.621567E+03,0.000000E+00,2.571100E-01
12:50:00,0.000000E+00,2.641470E+03,0.000000E+00,2.590620E-01
13:00:00,0.000000E+00,2.661007E+03,0.000000E+00,2.609781E-01
13:10:00,0.000000E+00,2.679679E+03,0.000000E+00,2.628093E-01
13:20:00,0.000000E+00,2.697742E+03,0.000000E+00,2.645809E-01
13:30:00,0.000000E+00,2.713629E+03,0.000000E+00,2.661389E-01
13:40:00,0.000000E+00,2.728596E+03,0.000000E+00,2.676068E-01
13:50:00,0.000000E+00,2.744318E+03,0.000000E+00,2.691486E-01
14:00:00,0.000000E+00,2.762654E+03,0.000000E+00,2.709469E-01
14:10:00,0.000000E+00,2.784583E+03,0.000000E+00,2.730976E-01
14:20:00,0.000000E+00,2.811002E+03,0.000000E+00,2.756887E-01
14:30:00,0.000000E+00,2.842532E+03,0.000000E+00,2.787810E-01
14:40:00,0.000000E+00,2.876546E+03,0.000000E+00,2.821169E-01
14:50:00,0.000000E+00,2.911264E+03,0.000000E+00,2.855219E-01
15:00:00,0.000000E+00,2.945263E+03,0.000000E+00,2.888564E-01
15:10:00,0.000000E+00,2.981036E+03,0.000000E+00,2.923648E-01
15:20:00,0.000000E+00,3.017921E+03,0.000000E+00,2.959823E-01
15:30:00,0.000000E+00,3.054800E+03,0.000000E+00,2.995991E-01
15:40:00,0.000000E+00,3.092384E+03,0.000000E+00,3.032851E-01
15:50:00,0.000000E+00,3.130708E+03,0.000000E+00,3.070438E-01
16:00:00,0.000000E+00,3.169540E+03,0.000000E+00,3.108522E-01
16:10:00,0.000000E+00,3.203862E+03,0.000000E+00,3.142182E-01
16:20:00,0.000000E+00,3.234466E+03,0.000000E+00,3.172196E-01
16:30:00,0.000000E+00,3.260366E+03,0.000000E+00,3.197597E-01
16:40:00,0.000000E+00,3.276849E+03,0.000000E+00,3.213761E-01
16:50:00,0.000000E+00,3.283486E+03,0.000000E+00,3.220270E-01
17:00:00,0.000000E+00,3.279863E+03,0.000000E+00,3.216715E-01
17:10:00,0.000000E+00,3.268758E+03,0.000000E+00,3.205822E-01
17:20:00,0.000000E+00,3.249050E+03,0.000000E+00,3.186492E-01
17:30:00,0.000000E+00,3.219226E+03,0.000000E+00,3.157241E-01
17:40:00,0.000000E+00,3.179984E+03,0.000000E+00,3.118753E-01
17:50:00,0.000000E+00,3.129975E+03,0.000000E+00,3.069705E-01
18:00:00,0.000000E+00,3.068237E+03,0.000000E+00,3.009155E-01
18:10:00,0.000000E+00,3.037547E+03,0.000000E+00,2.979055E-01
18:20:00,0.000000E+00,2.996634E+03,0.000000E+00,2.938931E-01
18:30:00,0.000000E+00,2.944046E+03,0.000000E+00,2.887360E-01
18:40:00,0.000000E+00,2.893220E+03,0.000000E+00,2.837523E-01
18:50:00,0.000000E+00,2.849540E+03,0.000000E+00,2.794698E-01
19:00:00,0.000000E+00,2.815806E+03,0.000000E+00,2.761630E-01
19:10:00,0.000000E+00,2.747990E+03,0.000000E+00,2.695137E-01
19:20:00,0.000000E+00,2.685516E+03,0.000000E+00,2.633881E-01
19:30:00,0.000000E+00,2.635500E+03,0.000000E+00,2.584839E-01
19:40:00,0.000000E+00,2.589789E+03,0.000000E+00,2.540014E-01
19:50:00,0.000000E+00,2.545624E+03,0.000000E+00,2.496703E-01
20:00:00,0.000000E+00,2.502269E+03,0.000000E+00,2.454184E-01
20:10:00,0.000000E+00,2.463262E+03,0.000000E+00,2.415928E-01
20:20:00,0.000000E+00,2.431373E+03,0.000000E+00,2.384652E-01
20:30:00,0.000000E+00,2.404016E+03,0.000000E+00,2.357822E-01
20:40:00,0.000000E+00,2.380355E+03,0.000000E+00,2.334618E-01
20:50:00,0.000000E+00,2.359969E+03,0.000000E+00,2.314625E-01
21:00:00,0.000000E+00,2.342568E+03,0.000000E+00,2.297560E-01
21:10:00,0.000000E+00,2.325952E+03,0.000000E+00,2.281265E-01
21:20:00,0.000000E+00,2.309592E+03,0.000000E+00,2.265219E-01
21:30:00,0.000000E+00,2.293176E+03,0.000000E+00,2.249120E-01
21:40:00,0.000000E+00,2.276523E+03,0.000000E+00,2.232788E-01
21:50:00,0.000000E+00,2.259532E+03,0.000000E+00,2.216123E-01
22:00:00,0.000000E+00,2.242191E+03,0.000000E+00,2.199116E-01
22:10:00,0.000000E+00,2.225181E+03,0.000000E+00,2.182432E-01
22:20:00,0.000000E+00,2.208539E+03,0.000000E+00,2.166110E-01
22:30:00,0.000000E+00,2.192298E+03,0.000000E+00,2.150181E-01
22:40:00,0.000000E+00,2.176487E+03,0.000000E+00,2.134675E-01
22:50:00,0.000000E+00,2.161134E+03,0.000000E+00,2.119617E-01
23:00:00,0.000000E+00,2.146399E+03,0.000000E+00,2.105166E-01
23:10:00,0.000000E+00,2.134096E+03,0.000000E+00,2.093099E-01
23:20:00,0.000000E+00,2.124317E+03,0.000000E+00,2.083509E-01
23:30:00,0.000000E+00,2.117342E+03,0.000000E+00,2.076668E-01
23:40:00,0.000000E+00,2.113287E+03,0.000000E+00,2.072692E-01
23:50:00,0.000000E+00,2.112249E+03,0.000000E+00,2.071675E-01
24:00:00,0.000000E+00,2.114134E+03,0.000000E+00,2.073525E-01
Peak,1.688347E+03,3.283486E+03,5.294003E-02,3.220270E-01

Peak Vol Flow (m3/s),,,4.510197E-02,2.743491E-01
