Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.561757E+03,0.000000E+00,2.512487E-01
00:20:00,0.000000E+00,2.468572E+03,0.000000E+00,2.421088E-01
00:30:00,0.000000E+00,2.369830E+03,0.000000E+00,2.324232E-01
00:40:00,0.000000E+00,2.266346E+03,0.000000E+00,2.222720E-01
00:50:00,0.000000E+00,2.158549E+03,0.000000E+00,2.116974E-01
01:00:00,0.000000E+00,2.046702E+03,0.000000E+00,2.007251E-01
01:10:00,0.000000E+00,2.017823E+03,0.000000E+00,1.978899E-01
01:20:00,0.000000E+00,1.994233E+03,0.000000E+00,1.955741E-01
01:30:00,0.000000E+00,1.974060E+03,0.000000E+00,1.935940E-01
01:40:00,0.000000E+00,1.956485E+03,0.000000E+00,1.918691E-01
01:50:00,0.000000E+00,1.941071E+03,0.000000E+00,1.903567E-01
02:00:00,0.000000E+00,1.927541E+03,0.000000E+00,1.890294E-01
02:10:00,0.000000E+00,1.914124E+03,0.000000E+00,1.877133E-01
02:20:00,0.000000E+00,1.900552E+03,0.000000E+00,1.863822E-01
02:30:00,0.000000E+00,1.886646E+03,0.000000E+00,1.850183E-01
02:40:00,0.000000E+00,1.872278E+03,0.000000E+00,1.836092E-01
02:50:00,0.000000E+00,1.857361E+03,0.000000E+00,1.821464E-01
03:00:00,0.000000E+00,1.841836E+03,0.000000E+00,1.806238E-01
03:10:00,0.000000E+00,1.828011E+03,0.000000E+00,1.792680E-01
03:20:00,0.000000E+00,1.816053E+03,0.000000E+00,1.780953E-01
03:30:00,0.000000E+00,1.806073E+03,0.000000E+00,1.771166E-01
03:40:00,0.000000E+00,1.798151E+03,0.000000E+00,1.763396E-01
03:50:00,0.000000E+00,1.792343E+03,0.000000E+00,1.757701E-01
04:00:00,0.000000E+00,1.788690E+03,0.000000E+00,1.754119E-01
04:10:00,0.000000E+00,1.784491E+03,0.000000E+00,1.750001E-01
04:20:00,0.000000E+00,1.779501E+03,0.000000E+00,1.745108E-01
04:30:00,0.000000E+00,1.773574E+03,0.000000E+00,1.739295E-01
04:40:00,0.000000E+00,1.766646E+03,0.000000E+00,1.732501E-01
04:50:00,0.000000E+00,1.758651E+03,0.000000E+00,1.724661E-01
05:00:00,0.000000E+00,1.749545E+03,0.000000E+00,1.715730E-01
05:10:00,0.000000E+00,1.741266E+03,0.000000E+00,1.707611E-01
05:20:00,0.000000E+00,1.733989E+03,0.000000E+00,1.700475E-01
05:30:00,0.000000E+00,1.727813E+03,0.000000E+00,1.694419E-01
05:40:00,0.000000E+00,1.725810E+03,0.000000E+00,1.692454E-01
05:50:00,0.000000E+00,1.729422E+03,0.000000E+00,1.695996E-01
06:00:00,0.000000E+00,1.738943E+03,0.000000E+00,1.705333E-01
06:10:00,0.000000E+00,1.752781E+03,0.000000E+00,1.718903E-01
06:20:00,0.000000E+00,1.770956E+03,0.000000E+00,1.736728E-01
06:30:00,0.000000E+00,1.793497E+03,0.000000E+00,1.758833E-01
06:40:00,0.000000E+00,1.819164E+03,0.000000E+00,1.784004E-01
06:50:00,0.000000E+00,1.847566E+03,0.000000E+00,1.811857E-01
07:00:00,0.000000E+00,1.878561E+03,0.000000E+00,1.842253E-01
07:10:00,0.000000E+00,1.915106E+03,0.000000E+00,1.878092E-01
07:20:00,0.000000E+00,1.959895E+03,0.000000E+00,1.922015E-01
07:30:00,0.000000E+00,2.011732E+03,0.000000E+00,1.972850E-01
07:40:00,0.000000E+00,2.070944E+03,0.000000E+00,2.030918E-01
07:50:00,0.000000E+00,2.138834E+03,0.000000E+00,2.097495E-01
08:00:00,0.000000E+00,2.214490E+03,0.000000E+00,2.171690E-01
08:10:00,7.024575E+02,2.294153E+03,1.996001E-02,2.249812E-01
08:20:00,9.073726E+02,2.374899E+03,2.683863E-02,2.328998E-01
08:30:00,1.425766E+03,2.456910E+03,4.378532E-02,2.409424E-01
08:40:00,1.630538E+03,2.532740E+03,5.048100E-02,2.483788E-01
08:50:00,1.834311E+03,2.598062E+03,5.714293E-02,2.547848E-01
09:00:00,2.012273E+03,2.652105E+03,6.296093E-02,2.600847E-01
09:10:00,1.395961E+03,2.755955E+03,4.581716E-02,2.702689E-01
09:20:00,1.252729E+03,2.851203E+03,4.095500E-02,2.796096E-01
09:30:00,7.741972E+02,2.936231E+03,2.531138E-02,2.879487E-01
09:40:00,5.915092E+02,3.013637E+03,1.933761E-02,2.955415E-01
09:50:00,3.943691E+02,3.083742E+03,1.289251E-02,3.024188E-01
10:00:00,2.164074E+02,3.146994E+03,7.074506E-03,3.086246E-01
10:10:00,1.302621E+02,3.142545E+03,4.258263E-03,3.081913E-01
10:20:00,6.857852E+01,3.128565E+03,2.241812E-03,3.068232E-01
10:30:00,2.871695E+01,3.107721E+03,9.387426E-04,3.047814E-01
10:40:00,6.632848E+00,3.083272E+03,2.168232E-04,3.023850E-01
10:50:00,0.000000E+00,3.057946E+03,0.000000E+00,2.999019E-01
11:00:00,0.000000E+00,3.034301E+03,0.000000E+00,2.975832E-01
11:10:00,0.000000E+00,3.014990E+03,0.000000E+00,2.956895E-01
11:20:00,0.000000E+00,3.002017E+03,0.000000E+00,2.944173E-01
11:30:00,0.000000E+00,2.996597E+03,0.000000E+00,2.938858E-01
11:40:00,0.000000E+00,2.999887E+03,0.000000E+00,2.942086E-01
11:50:00,0.000000E+00,3.010048E+03,0.000000E+00,2.952053E-01
12:00:00,0.000000E+00,3.026059E+03,0.000000E+00,2.967757E-01
12:10:00,0.000000E+00,3.045416E+03,0.000000E+00,2.986742E-01
12:20:00,0.000000E+00,3.065923E+03,0.000000E+00,3.006855E-01
12:30:00,0.000000E+00,3.088086E+03,0.000000E+00,3.028592E-01
12:40:00,0.000000E+00,3.110573E+03,0.000000E+00,3.050646E-01
12:50:00,0.000000E+00,3.133895E+03,0.000000E+00,3.073518E-01
13:00:00,0.000000E+00,3.157024E+03,0.000000E+00,3.096202E-01
13:10:00,0.000000E+00,3.179422E+03,0.000000E+00,3.118169E-01
13:20:00,0.000000E+00,3.201327E+03,0.000000E+00,3.139651E-01
13:30:00,0.000000E+00,3.221111E+03,0.000000E+00,3.159054E-01
13:40:00,0.000000E+00,3.240025E+03,0.000000E+00,3.177603E-01
13:50:00,0.000000E+00,3.259757E+03,0.000000E+00,3.196955E-01
14:00:00,0.000000E+00,3.282188E+03,0.000000E+00,3.218953E-01
14:10:00,0.000000E+00,3.308313E+03,0.000000E+00,3.244575E-01
14:20:00,0.000000E+00,3.339054E+03,0.000000E+00,3.274724E-01
14:30:00,0.000000E+00,3.375063E+03,0.000000E+00,3.310039E-01
14:40:00,0.000000E+00,3.413673E+03,0.000000E+00,3.347906E-01
14:50:00,0.000000E+00,3.453053E+03,0.000000E+00,3.386527E-01
15:00:00,0.000000E+00,3.491728E+03,0.000000E+00,3.424457E-01
15:10:00,0.000000E+00,3.532190E+03,0.000000E+00,3.464140E-01
15:20:00,0.000000E+00,3.573748E+03,0.000000E+00,3.504896E-01
15:30:00,0.000000E+00,3.615247E+03,0.000000E+00,3.545596E-01
15:40:00,0.000000E+00,3.657400E+03,0.000000E+00,3.586936E-01
15:50:00,0.000000E+00,3.700241E+03,0.000000E+00,3.628952E-01
16:00:00,0.000000E+00,3.743530E+03,0.000000E+00,3.671407E-01
16:10:00,0.000000E+00,3.782181E+03,0.000000E+00,3.709313E-01
16:20:00,0.000000E+00,3.816992E+03,0.000000E+00,3.743452E-01
16:30:00,0.000000E+00,3.846942E+03,0.000000E+00,3.772825E-01
16:40:00,0.000000E+00,3.867225E+03,0.000000E+00,3.792716E-01
16:50:00,0.000000E+00,3.877371E+03,0.000000E+00,3.802665E-01
17:00:00,0.000000E+00,3.876949E+03,0.000000E+00,3.802250E-01
17:10:00,0.000000E+00,3.868751E+03,0.000000E+00,3.794209E-01
17:20:00,0.000000E+00,3.851611E+03,0.000000E+00,3.777398E-01
17:30:00,0.000000E+00,3.823932E+03,0.000000E+00,3.750251E-01
17:40:00,0.000000E+00,3.786381E+03,0.000000E+00,3.713422E-01
17:50:00,0.000000E+00,3.737548E+03,0.000000E+00,3.665529E-01
18:00:00,0.000000E+00,3.676368E+03,0.000000E+00,3.605526E-01
18:10:00,0.000000E+00,3.645562E+03,0.000000E+00,3.575312E-01
18:20:00,0.000000E+00,3.603825E+03,0.000000E+00,3.534381E-01
18:30:00,0.000000E+00,3.549697E+03,0.000000E+00,3.481301E-01
18:40:00,0.000000E+00,3.496858E+03,0.000000E+00,3.429489E-01
18:50:00,0.000000E+00,3.450921E+03,0.000000E+00,3.384451E-01
19:00:00,0.000000E+00,3.414907E+03,0.000000E+00,3.349146E-01
19:10:00,0.000000E+00,3.344892E+03,0.000000E+00,3.280498E-01
19:20:00,0.000000E+00,3.280304E+03,0.000000E+00,3.217169E-01
19:30:00,0.000000E+00,3.228436E+03,0.000000E+00,3.166312E-01
19:40:00,0.000000E+00,3.181061E+03,0.000000E+00,3.119856E-01
19:50:00,0.000000E+00,3.135320E+03,0.000000E+00,3.075000E-01
20:00:00,0.000000E+00,3.090396E+03,0.000000E+00,3.030942E-01
20:10:00,0.000000E+00,3.049842E+03,0.000000E+00,2.991169E-01
20:20:00,0.000000E+00,3.016503E+03,0.000000E+00,2.958474E-01
20:30:00,0.000000E+00,2.987735E+03,0.000000E+00,2.930260E-01
20:40:00,0.000000E+00,2.962660E+03,0.000000E+00,2.905669E-01
20:50:00,0.000000E+00,2.940825E+03,0.000000E+00,2.884255E-01
21:00:00,0.000000E+00,2.921918E+03,0.000000E+00,2.865713E-01
21:10:00,0.000000E+00,2.903684E+03,0.000000E+00,2.847830E-01
21:20:00,0.000000E+00,2.885571E+03,0.000000E+00,2.830067E-01
21:30:00,0.000000E+00,2.867254E+03,0.000000E+00,2.812102E-01
21:40:00,0.000000E+00,2.848541E+03,0.000000E+00,2.793750E-01
