Time,ZONE::Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,5.686990E+03,0.000000E+00,5.577586E-01
00:20:00,0.000000E+00,5.216135E+03,0.000000E+00,5.115768E-01
00:30:00,0.000000E+00,4.732524E+03,0.000000E+00,4.641438E-01
00:40:00,0.000000E+00,4.239353E+03,0.000000E+00,4.157729E-01
00:50:00,0.000000E+00,3.738019E+03,0.000000E+00,3.666010E-01
01:00:00,0.000000E+00,3.229580E+03,0.000000E+00,3.167321E-01
01:10:00,0.000000E+00,3.152478E+03,0.000000E+00,3.091669E-01
01:20:00,0.000000E+00,3.092873E+03,0.000000E+00,3.033196E-01
01:30:00,0.000000E+00,3.047550E+03,0.000000E+00,2.988733E-01
01:40:00,0.000000E+00,3.013983E+03,0.000000E+00,2.955801E-01
01:50:00,0.000000E+00,2.991159E+03,0.000000E+00,2.933408E-01
02:00:00,0.000000E+00,2.978328E+03,0.000000E+00,2.920817E-01
02:10:00,0.000000E+00,2.964751E+03,0.000000E+00,2.907496E-01
02:20:00,0.000000E+00,2.949464E+03,0.000000E+00,2.892498E-01
02:30:00,0.000000E+00,2.931655E+03,0.000000E+00,2.875028E-01
02:40:00,0.000000E+00,2.910606E+03,0.000000E+00,2.854381E-01
02:50:00,0.000000E+00,2.885902E+03,0.000000E+00,2.830150E-01
03:00:00,0.000000E+00,2.857218E+03,0.000000E+00,2.802017E-01
03:10:00,0.000000E+00,2.828918E+03,0.000000E+00,2.774261E-01
03:20:00,0.000000E+00,2.801116E+03,0.000000E+00,2.746994E-01
03:30:00,0.000000E+00,2.773994E+03,0.000000E+00,2.720394E-01
03:40:00,0.000000E+00,2.747668E+03,0.000000E+00,2.694574E-01
03:50:00,0.000000E+00,2.722209E+03,0.000000E+00,2.669606E-01
04:00:00,0.000000E+00,2.697662E+03,0.000000E+00,2.645532E-01
04:10:00,0.000000E+00,2.676747E+03,0.000000E+00,2.625020E-01
04:20:00,0.000000E+00,2.659745E+03,0.000000E+00,2.608345E-01
04:30:00,0.000000E+00,2.646759E+03,0.000000E+00,2.595609E-01
04:40:00,0.000000E+00,2.638200E+03,0.000000E+00,2.587215E-01
04:50:00,0.000000E+00,2.634079E+03,0.000000E+00,2.583173E-01
05:00:00,0.000000E+00,2.634382E+03,0.000000E+00,2.583469E-01
05:10:00,0.000000E+00,2.633357E+03,0.000000E+00,2.582464E-01
05:20:00,0.000000E+00,2.630593E+03,0.000000E+00,2.579753E-01
05:30:00,0.000000E+00,2.625840E+03,0.000000E+00,2.575092E-01
05:40:00,0.000000E+00,2.625285E+03,0.000000E+00,2.574547E-01
05:50:00,0.000000E+00,2.631061E+03,0.000000E+00,2.580211E-01
06:00:00,0.000000E+00,2.644552E+03,0.000000E+00,2.593441E-01
06:10:00,0.000000E+00,2.671055E+03,0.000000E+00,2.619431E-01
06:20:00,0.000000E+00,2.714276E+03,0.000000E+00,2.661817E-01
06:30:00,0.000000E+00,2.773167E+03,0.000000E+00,2.719570E-01
06:40:00,0.000000E+00,2.841857E+03,0.000000E+00,2.786932E-01
06:50:00,0.000000E+00,2.918294E+03,0.000000E+00,2.861892E-01
07:00:00,0.000000E+00,3.000997E+03,0.000000E+00,2.942996E-01
07:10:00,0.000000E+00,3.085241E+03,0.000000E+00,3.025612E-01
07:20:00,0.000000E+00,3.167136E+03,0.000000E+00,3.105924E-01
07:30:00,0.000000E+00,3.247502E+03,0.000000E+00,3.184737E-01
07:40:00,0.000000E+00,3.324818E+03,0.000000E+00,3.260559E-01
07:50:00,0.000000E+00,3.398114E+03,0.000000E+00,3.332438E-01
08:00:00,0.000000E+00,3.470508E+03,0.000000E+00,3.403433E-01
08:10:00,0.000000E+00,3.543253E+03,0.000000E+00,3.474772E-01
08:20:00,0.000000E+00,3.615738E+03,0.000000E+00,3.545856E-01
08:30:00,0.000000E+00,3.686975E+03,0.000000E+00,3.615716E-01
08:40:00,0.000000E+00,3.750226E+03,0.000000E+00,3.677744E-01
08:50:00,0.000000E+00,3.802150E+03,0.000000E+00,3.728665E-01
09:00:00,0.000000E+00,3.840574E+03,0.000000E+00,3.766346E-01
09:10:00,0.000000E+00,4.106641E+03,0.000000E+00,4.027271E-01
09:20:00,0.000000E+00,4.375047E+03,0.000000E+00,4.290489E-01
09:30:00,0.000000E+00,4.644683E+03,0.000000E+00,4.554920E-01
09:40:00,0.000000E+00,4.925214E+03,0.000000E+00,4.830044E-01
09:50:00,0.000000E+00,5.221296E+03,0.000000E+00,5.120427E-01
10:00:00,0.000000E+00,5.529366E+03,0.000000E+00,5.422575E-01
10:10:00,0.000000E+00,5.605179E+03,0.000000E+00,5.496961E-01
10:20:00,0.000000E+00,5.675424E+03,0.000000E+00,5.565890E-01
10:30:00,0.000000E+00,5.742630E+03,0.000000E+00,5.631838E-01
10:40:00,0.000000E+00,5.803411E+03,0.000000E+00,5.691479E-01
10:50:00,0.000000E+00,5.856776E+03,0.000000E+00,5.743841E-01
11:00:00,0.000000E+00,5.904741E+03,0.000000E+00,5.790902E-01
11:10:00,0.000000E+00,5.953279E+03,0.000000E+00,5.838520E-01
11:20:00,0.000000E+00,6.001057E+03,0.000000E+00,5.885390E-01
11:30:00,0.000000E+00,6.047308E+03,0.000000E+00,5.930759E-01
11:40:00,0.000000E+00,6.094259E+03,0.000000E+00,5.976813E-01
11:50:00,0.000000E+00,6.137553E+03,0.000000E+00,6.019279E-01
12:00:00,0.000000E+00,6.183183E+03,0.000000E+00,6.064034E-01
12:10:00,0.000000E+00,6.224284E+03,0.000000E+00,6.104346E-01
12:20:00,0.000000E+00,6.254471E+03,0.000000E+00,6.133955E-01
12:30:00,0.000000E+00,6.277559E+03,0.000000E+00,6.156599E-01
12:40:00,0.000000E+00,6.296702E+03,0.000000E+00,6.175374E-01
12:50:00,0.000000E+00,6.320227E+03,0.000000E+00,6.198446E-01
