Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,5.042630E+03,0.000000E+00,4.945630E-01
00:20:00,0.000000E+00,4.577090E+03,0.000000E+00,4.489026E-01
00:30:00,0.000000E+00,4.098783E+03,0.000000E+00,4.019899E-01
00:40:00,0.000000E+00,3.610915E+03,0.000000E+00,3.541392E-01
00:50:00,0.000000E+00,3.114871E+03,0.000000E+00,3.054865E-01
01:00:00,0.000000E+00,2.611717E+03,0.000000E+00,2.561364E-01
01:10:00,0.000000E+00,2.537754E+03,0.000000E+00,2.488797E-01
01:20:00,0.000000E+00,2.482167E+03,0.000000E+00,2.434270E-01
01:30:00,0.000000E+00,2.440721E+03,0.000000E+00,2.393614E-01
01:40:00,0.000000E+00,2.410808E+03,0.000000E+00,2.364270E-01
01:50:00,0.000000E+00,2.391416E+03,0.000000E+00,2.345246E-01
02:00:00,0.000000E+00,2.381809E+03,0.000000E+00,2.335819E-01
02:10:00,0.000000E+00,2.371532E+03,0.000000E+00,2.325736E-01
02:20:00,0.000000E+00,2.359637E+03,0.000000E+00,2.314067E-01
02:30:00,0.000000E+00,2.345270E+03,0.000000E+00,2.299974E-01
02:40:00,0.000000E+00,2.327783E+03,0.000000E+00,2.282821E-01
02:50:00,0.000000E+00,2.306775E+03,0.000000E+00,2.262216E-01
03:00:00,0.000000E+00,2.281904E+03,0.000000E+00,2.237823E-01
03:10:00,0.000000E+00,2.257421E+03,0.000000E+00,2.213810E-01
03:20:00,0.000000E+00,2.233427E+03,0.000000E+00,2.190277E-01
03:30:00,0.000000E+00,2.210099E+03,0.000000E+00,2.167399E-01
03:40:00,0.000000E+00,2.187551E+03,0.000000E+00,2.145284E-01
03:50:00,0.000000E+00,2.165852E+03,0.000000E+00,2.124003E-01
04:00:00,0.000000E+00,2.145044E+03,0.000000E+00,2.103596E-01
04:10:00,0.000000E+00,2.127753E+03,0.000000E+00,2.086638E-01
04:20:00,0.000000E+00,2.114258E+03,0.000000E+00,2.073403E-01
04:30:00,0.000000E+00,2.104668E+03,0.000000E+00,2.063998E-01
04:40:00,0.000000E+00,2.099401E+03,0.000000E+00,2.058832E-01
04:50:00,0.000000E+00,2.098471E+03,0.000000E+00,2.057919E-01
05:00:00,0.000000E+00,2.101857E+03,0.000000E+00,2.061239E-01
05:10:00,0.000000E+00,2.104006E+03,0.000000E+00,2.063345E-01
05:20:00,0.000000E+00,2.104515E+03,0.000000E+00,2.063845E-01
05:30:00,0.000000E+00,2.103118E+03,0.000000E+00,2.062474E-01
05:40:00,0.000000E+00,2.105795E+03,0.000000E+00,2.065099E-01
05:50:00,0.000000E+00,2.114688E+03,0.000000E+00,2.073819E-01
06:00:00,0.000000E+00,2.131161E+03,0.000000E+00,2.089974E-01
06:10:00,0.000000E+00,2.160382E+03,0.000000E+00,2.118630E-01
06:20:00,0.000000E+00,2.206008E+03,0.000000E+00,2.163374E-01
06:30:00,0.000000E+00,2.267038E+03,0.000000E+00,2.223224E-01
06:40:00,0.000000E+00,2.337799E+03,0.000000E+00,2.292617E-01
06:50:00,0.000000E+00,2.416338E+03,0.000000E+00,2.369639E-01
07:00:00,0.000000E+00,2.501179E+03,0.000000E+00,2.452840E-01
07:10:00,0.000000E+00,2.587674E+03,0.000000E+00,2.537664E-01
07:20:00,0.000000E+00,2.671998E+03,0.000000E+00,2.620358E-01
07:30:00,0.000000E+00,2.754965E+03,0.000000E+00,2.701721E-01
07:40:00,0.000000E+00,2.835107E+03,0.000000E+00,2.780314E-01
07:50:00,0.000000E+00,2.911408E+03,0.000000E+00,2.855141E-01
08:00:00,0.000000E+00,2.987223E+03,0.000000E+00,2.929490E-01
08:10:00,1.823672E+02,3.062582E+03,5.904896E-03,3.003393E-01
08:20:00,1.823672E+02,3.136678E+03,5.904896E-03,3.076057E-01
08:30:00,1.823672E+02,3.208427E+03,5.904896E-03,3.146419E-01
08:40:00,1.823672E+02,3.271335E+03,5.904896E-03,3.208111E-01
