Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.135455E+03,0.000000E+00,2.094444E-01
00:20:00,0.000000E+00,2.043210E+03,0.000000E+00,2.003963E-01
00:30:00,0.000000E+00,1.945669E+03,0.000000E+00,1.908281E-01
00:40:00,0.000000E+00,1.843583E+03,0.000000E+00,1.808136E-01
00:50:00,0.000000E+00,1.737356E+03,0.000000E+00,1.703923E-01
01:00:00,0.000000E+00,1.627200E+03,0.000000E+00,1.595856E-01
01:10:00,0.000000E+00,1.601479E+03,0.000000E+00,1.570600E-01
01:20:00,0.000000E+00,1.580790E+03,0.000000E+00,1.550287E-01
01:30:00,0.000000E+00,1.563274E+03,0.000000E+00,1.533090E-01
01:40:00,0.000000E+00,1.548162E+03,0.000000E+00,1.518259E-01
01:50:00,0.000000E+00,1.535037E+03,0.000000E+00,1.505380E-01
02:00:00,0.000000E+00,1.523653E+03,0.000000E+00,1.494212E-01
02:10:00,0.000000E+00,1.512291E+03,0.000000E+00,1.483068E-01
02:20:00,0.000000E+00,1.500719E+03,0.000000E+00,1.471717E-01
02:30:00,0.000000E+00,1.488783E+03,0.000000E+00,1.460011E-01
02:40:00,0.000000E+00,1.476381E+03,0.000000E+00,1.447848E-01
02:50:00,0.000000E+00,1.463439E+03,0.000000E+00,1.435156E-01
03:00:00,0.000000E+00,1.449909E+03,0.000000E+00,1.421887E-01
03:10:00,0.000000E+00,1.438063E+03,0.000000E+00,1.410270E-01
03:20:00,0.000000E+00,1.428059E+03,0.000000E+00,1.400459E-01
03:30:00,0.000000E+00,1.419992E+03,0.000000E+00,1.392548E-01
03:40:00,0.000000E+00,1.413930E+03,0.000000E+00,1.386603E-01
03:50:00,0.000000E+00,1.409920E+03,0.000000E+00,1.382671E-01
04:00:00,0.000000E+00,1.407996E+03,0.000000E+00,1.380783E-01
04:10:00,0.000000E+00,1.405501E+03,0.000000E+00,1.378337E-01
04:20:00,0.000000E+00,1.402206E+03,0.000000E+00,1.375105E-01
04:30:00,0.000000E+00,1.397976E+03,0.000000E+00,1.370957E-01
04:40:00,0.000000E+00,1.392759E+03,0.000000E+00,1.365841E-01
04:50:00,0.000000E+00,1.386498E+03,0.000000E+00,1.359701E-01
05:00:00,0.000000E+00,1.379152E+03,0.000000E+00,1.352497E-01
05:10:00,0.000000E+00,1.372625E+03,0.000000E+00,1.346097E-01
05:20:00,0.000000E+00,1.367082E+03,0.000000E+00,1.340660E-01
05:30:00,0.000000E+00,1.362610E+03,0.000000E+00,1.336275E-01
05:40:00,0.000000E+00,1.362168E+03,0.000000E+00,1.335842E-01
05:50:00,0.000000E+00,1.367105E+03,0.000000E+00,1.340683E-01
06:00:00,0.000000E+00,1.377654E+03,0.000000E+00,1.351028E-01
06:10:00,0.000000E+00,1.392230E+03,0.000000E+00,1.365323E-01
06:20:00,0.000000E+00,1.410843E+03,0.000000E+00,1.383576E-01
06:30:00,0.000000E+00,1.433508E+03,0.000000E+00,1.405803E-01
06:40:00,0.000000E+00,1.459012E+03,0.000000E+00,1.430814E-01
06:50:00,0.000000E+00,1.487011E+03,0.000000E+00,1.458272E-01
07:00:00,0.000000E+00,1.517389E+03,0.000000E+00,1.488063E-01
07:10:00,0.000000E+00,1.553063E+03,0.000000E+00,1.523047E-01
07:20:00,0.000000E+00,1.596650E+03,0.000000E+00,1.565792E-01
07:30:00,0.000000E+00,1.646957E+03,0.000000E+00,1.615127E-01
07:40:00,0.000000E+00,1.704351E+03,0.000000E+00,1.671412E-01
07:50:00,0.000000E+00,1.770130E+03,0.000000E+00,1.735919E-01
08:00:00,0.000000E+00,1.843405E+03,0.000000E+00,1.807779E-01
08:10:00,5.092745E+02,1.920468E+03,1.465944E-02,1.883352E-01
08:20:00,6.704865E+02,1.998461E+03,2.005208E-02,1.959837E-01
08:30:00,1.040630E+03,2.077602E+03,3.215238E-02,2.037449E-01
08:40:00,1.195813E+03,2.150548E+03,3.722657E-02,2.108985E-01
08:50:00,1.344588E+03,2.213099E+03,4.209049E-02,2.170327E-01
09:00:00,1.471434E+03,2.264530E+03,4.623739E-02,2.220764E-01
09:10:00,1.000518E+03,2.365936E+03,3.283197E-02,2.320210E-01
09:20:00,8.561411E+02,2.458887E+03,2.798966E-02,2.411365E-01
09:30:00,4.859975E+02,2.541768E+03,1.588937E-02,2.492653E-01
09:40:00,3.308148E+02,2.617187E+03,1.081517E-02,2.566633E-01
09:50:00,1.820395E+02,2.685450E+03,5.951252E-03,2.633606E-01
10:00:00,5.519398E+01,2.747038E+03,1.804355E-03,2.694035E-01
10:10:00,1.683514E+01,2.741150E+03,5.503372E-04,2.688294E-01
10:20:00,0.000000E+00,2.726047E+03,0.000000E+00,2.673517E-01
10:30:00,0.000000E+00,2.704404E+03,0.000000E+00,2.652316E-01
