Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.966215E+03,0.000000E+00,1.928458E-01
00:20:00,0.000000E+00,1.874881E+03,0.000000E+00,1.838870E-01
00:30:00,0.000000E+00,1.778369E+03,0.000000E+00,1.744198E-01
00:40:00,0.000000E+00,1.677406E+03,0.000000E+00,1.645156E-01
00:50:00,0.000000E+00,1.572381E+03,0.000000E+00,1.542126E-01
01:00:00,0.000000E+00,1.463499E+03,0.000000E+00,1.435310E-01
01:10:00,0.000000E+00,1.439337E+03,0.000000E+00,1.411586E-01
01:20:00,0.000000E+00,1.420041E+03,0.000000E+00,1.392642E-01
01:30:00,0.000000E+00,1.403846E+03,0.000000E+00,1.376744E-01
01:40:00,0.000000E+00,1.390008E+03,0.000000E+00,1.363162E-01
01:50:00,0.000000E+00,1.378120E+03,0.000000E+00,1.351497E-01
02:00:00,0.000000E+00,1.367940E+03,0.000000E+00,1.341510E-01
02:10:00,0.000000E+00,1.357773E+03,0.000000E+00,1.331536E-01
02:20:00,0.000000E+00,1.347395E+03,0.000000E+00,1.321357E-01
02:30:00,0.000000E+00,1.336658E+03,0.000000E+00,1.310826E-01
02:40:00,0.000000E+00,1.325459E+03,0.000000E+00,1.299844E-01
02:50:00,0.000000E+00,1.313730E+03,0.000000E+00,1.288340E-01
03:00:00,0.000000E+00,1.301420E+03,0.000000E+00,1.276269E-01
03:10:00,0.000000E+00,1.290772E+03,0.000000E+00,1.265825E-01
03:20:00,0.000000E+00,1.281930E+03,0.000000E+00,1.257155E-01
03:30:00,0.000000E+00,1.274987E+03,0.000000E+00,1.250346E-01
03:40:00,0.000000E+00,1.270009E+03,0.000000E+00,1.245464E-01
03:50:00,0.000000E+00,1.267041E+03,0.000000E+00,1.242553E-01
04:00:00,0.000000E+00,1.266115E+03,0.000000E+00,1.241645E-01
04:10:00,0.000000E+00,1.264611E+03,0.000000E+00,1.240170E-01
04:20:00,0.000000E+00,1.262314E+03,0.000000E+00,1.237918E-01
04:30:00,0.000000E+00,1.259092E+03,0.000000E+00,1.234757E-01
04:40:00,0.000000E+00,1.254893E+03,0.000000E+00,1.230640E-01
04:50:00,0.000000E+00,1.249662E+03,0.000000E+00,1.225510E-01
05:00:00,0.000000E+00,1.243358E+03,0.000000E+00,1.219328E-01
05:10:00,0.000000E+00,1.237864E+03,0.000000E+00,1.213939E-01
05:20:00,0.000000E+00,1.233330E+03,0.000000E+00,1.209493E-01
05:30:00,0.000000E+00,1.229846E+03,0.000000E+00,1.206076E-01
05:40:00,0.000000E+00,1.230272E+03,0.000000E+00,1.206495E-01
05:50:00,0.000000E+00,1.235884E+03,0.000000E+00,1.211998E-01
06:00:00,0.000000E+00,1.246916E+03,0.000000E+00,1.222817E-01
06:10:00,0.000000E+00,1.261820E+03,0.000000E+00,1.237433E-01
06:20:00,0.000000E+00,1.280630E+03,0.000000E+00,1.255880E-01
06:30:00,0.000000E+00,1.303370E+03,0.000000E+00,1.278180E-01
06:40:00,0.000000E+00,1.328897E+03,0.000000E+00,1.303214E-01
06:50:00,0.000000E+00,1.356934E+03,0.000000E+00,1.330709E-01
07:00:00,0.000000E+00,1.387370E+03,0.000000E+00,1.360557E-01
07:10:00,0.000000E+00,1.423082E+03,0.000000E+00,1.395579E-01
07:20:00,0.000000E+00,1.466637E+03,0.000000E+00,1.438292E-01
07:30:00,0.000000E+00,1.516858E+03,0.000000E+00,1.487542E-01
07:40:00,0.000000E+00,1.574127E+03,0.000000E+00,1.543704E-01
07:50:00,0.000000E+00,1.639724E+03,0.000000E+00,1.608034E-01
08:00:00,0.000000E+00,1.712778E+03,0.000000E+00,1.679676E-01
08:10:00,5.442602E+02,1.789618E+03,1.554360E-02,1.755031E-01
08:20:00,7.253548E+02,1.867426E+03,2.160745E-02,1.831335E-01
08:30:00,1.125409E+03,1.946405E+03,3.468560E-02,1.908788E-01
08:40:00,1.298996E+03,2.019268E+03,4.036155E-02,1.980242E-01
08:50:00,1.465469E+03,2.081864E+03,4.580407E-02,2.041629E-01
09:00:00,1.609137E+03,2.133453E+03,5.050093E-02,2.092221E-01
09:10:00,1.119087E+03,2.235033E+03,3.672954E-02,2.191837E-01
09:20:00,9.699157E+02,2.328186E+03,3.170928E-02,2.283190E-01
09:30:00,5.818043E+02,2.411304E+03,1.902153E-02,2.364709E-01
09:40:00,4.082171E+02,2.486961E+03,1.334558E-02,2.438923E-01
09:50:00,2.417440E+02,2.555434E+03,7.903059E-03,2.506099E-01
10:00:00,9.807617E+01,2.617191E+03,3.206199E-03,2.566693E-01
10:10:00,4.386635E+01,2.611493E+03,1.433985E-03,2.561137E-01
10:20:00,1.194264E+01,2.596572E+03,3.903995E-04,2.546536E-01
10:30:00,0.000000E+00,2.575068E+03,0.000000E+00,2.525471E-01
10:40:00,0.000000E+00,2.550139E+03,0.000000E+00,2.501036E-01
10:50:00,0.000000E+00,2.524452E+03,0.000000E+00,2.475849E-01
11:00:00,0.000000E+00,2.500475E+03,0.000000E+00,2.452336E-01
11:10:00,0.000000E+00,2.480747E+03,0.000000E+00,2.432989E-01
11:20:00,0.000000E+00,2.467176E+03,0.000000E+00,2.419681E-01
11:30:00,0.000000E+00,2.460891E+03,0.000000E+00,2.413518E-01
11:40:00,0.000000E+00,2.462971E+03,0.000000E+00,2.415559E-01
11:50:00,0.000000E+00,2.471527E+03,0.000000E+00,2.423952E-01
12:00:00,0.000000E+00,2.485487E+03,0.000000E+00,2.437645E-01
12:10:00,0.000000E+00,2.502372E+03,0.000000E+00,2.454206E-01
12:20:00,0.000000E+00,2.520035E+03,0.000000E+00,2.471530E-01
12:30:00,0.000000E+00,2.538993E+03,0.000000E+00,2.490124E-01
12:40:00,0.000000E+00,2.558004E+03,0.000000E+00,2.508770E-01
12:50:00,0.000000E+00,2.577582E+03,0.000000E+00,2.527970E-01
13:00:00,0.000000E+00,2.596762E+03,0.000000E+00,2.546781E-01
13:10:00,0.000000E+00,2.615053E+03,0.000000E+00,2.564721E-01
13:20:00,0.000000E+00,2.632721E+03,0.000000E+00,2.582048E-01
13:30:00,0.000000E+00,2.648204E+03,0.000000E+00,2.597232E-01
13:40:00,0.000000E+00,2.662741E+03,0.000000E+00,2.611489E-01
13:50:00,0.000000E+00,2.678026E+03,0.000000E+00,2.626480E-01
14:00:00,0.000000E+00,2.695921E+03,0.000000E+00,2.644030E-01
14:10:00,0.000000E+00,2.717394E+03,0.000000E+00,2.665090E-01
14:20:00,0.000000E+00,2.743335E+03,0.000000E+00,2.690531E-01
14:30:00,0.000000E+00,2.774357E+03,0.000000E+00,2.720956E-01
14:40:00,0.000000E+00,2.807835E+03,0.000000E+00,2.753791E-01
