Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,4.634426E+03,0.000000E+00,4.545471E-01
00:20:00,0.000000E+00,4.198742E+03,0.000000E+00,4.118128E-01
00:30:00,0.000000E+00,3.759379E+03,0.000000E+00,3.687172E-01
00:40:00,0.000000E+00,3.318794E+03,0.000000E+00,3.255012E-01
00:50:00,0.000000E+00,2.878397E+03,0.000000E+00,2.823034E-01
01:00:00,0.000000E+00,2.438821E+03,0.000000E+00,2.391857E-01
01:10:00,0.000000E+00,2.383891E+03,0.000000E+00,2.337941E-01
01:20:00,0.000000E+00,2.337171E+03,0.000000E+00,2.292096E-01
01:30:00,0.000000E+00,2.293806E+03,0.000000E+00,2.249548E-01
01:40:00,0.000000E+00,2.251693E+03,0.000000E+00,2.208233E-01
01:50:00,0.000000E+00,2.209917E+03,0.000000E+00,2.167250E-01
02:00:00,0.000000E+00,2.167569E+03,0.000000E+00,2.125712E-01
02:10:00,0.000000E+00,2.129045E+03,0.000000E+00,2.087925E-01
02:20:00,0.000000E+00,2.094106E+03,0.000000E+00,2.053655E-01
02:30:00,0.000000E+00,2.062760E+03,0.000000E+00,2.022911E-01
02:40:00,0.000000E+00,2.034866E+03,0.000000E+00,1.995552E-01
02:50:00,0.000000E+00,2.010151E+03,0.000000E+00,1.971313E-01
03:00:00,0.000000E+00,1.988784E+03,0.000000E+00,1.950356E-01
03:10:00,0.000000E+00,1.967488E+03,0.000000E+00,1.929471E-01
03:20:00,0.000000E+00,1.946083E+03,0.000000E+00,1.908478E-01
03:30:00,0.000000E+00,1.924440E+03,0.000000E+00,1.887252E-01
03:40:00,0.000000E+00,1.902495E+03,0.000000E+00,1.865730E-01
03:50:00,0.000000E+00,1.880225E+03,0.000000E+00,1.843890E-01
04:00:00,0.000000E+00,1.857632E+03,0.000000E+00,1.821732E-01
04:10:00,0.000000E+00,1.837978E+03,0.000000E+00,1.802458E-01
04:20:00,0.000000E+00,1.821410E+03,0.000000E+00,1.786210E-01
04:30:00,0.000000E+00,1.808073E+03,0.000000E+00,1.773131E-01
04:40:00,0.000000E+00,1.798067E+03,0.000000E+00,1.763318E-01
04:50:00,0.000000E+00,1.791467E+03,0.000000E+00,1.756845E-01
05:00:00,0.000000E+00,1.788332E+03,0.000000E+00,1.753770E-01
05:10:00,0.000000E+00,1.784344E+03,0.000000E+00,1.749859E-01
05:20:00,0.000000E+00,1.779381E+03,0.000000E+00,1.744992E-01
05:30:00,0.000000E+00,1.773298E+03,0.000000E+00,1.739026E-01
05:40:00,0.000000E+00,1.775859E+03,0.000000E+00,1.741538E-01
05:50:00,0.000000E+00,1.790252E+03,0.000000E+00,1.755653E-01
06:00:00,0.000000E+00,1.816228E+03,0.000000E+00,1.781127E-01
06:10:00,0.000000E+00,1.857997E+03,0.000000E+00,1.822089E-01
06:20:00,0.000000E+00,1.915894E+03,0.000000E+00,1.878867E-01
06:30:00,0.000000E+00,1.989963E+03,0.000000E+00,1.951505E-01
06:40:00,0.000000E+00,2.074521E+03,0.000000E+00,2.034429E-01
06:50:00,0.000000E+00,2.169476E+03,0.000000E+00,2.127549E-01
07:00:00,0.000000E+00,2.276441E+03,0.000000E+00,2.232447E-01
07:10:00,0.000000E+00,2.393502E+03,0.000000E+00,2.347246E-01
07:20:00,0.000000E+00,2.520524E+03,0.000000E+00,2.471814E-01
07:30:00,0.000000E+00,2.658461E+03,0.000000E+00,2.607085E-01
07:40:00,0.000000E+00,2.796710E+03,0.000000E+00,2.742663E-01
07:50:00,0.000000E+00,2.930246E+03,0.000000E+00,2.873618E-01
08:00:00,0.000000E+00,3.056234E+03,0.000000E+00,2.997171E-01
08:10:00,9.751293E+02,3.173687E+03,2.922373E-02,3.112354E-01
08:20:00,1.226369E+03,3.281442E+03,3.744077E-02,3.218027E-01
08:30:00,1.956221E+03,3.377719E+03,6.130063E-02,3.312442E-01
08:40:00,2.130211E+03,3.462209E+03,6.699002E-02,3.395299E-01
08:50:00,2.337587E+03,3.534107E+03,7.376948E-02,3.465807E-01
09:00:00,2.512812E+03,3.592916E+03,7.949792E-02,3.523480E-01
09:10:00,1.537683E+03,3.815450E+03,5.027419E-02,3.741712E-01
09:20:00,1.286443E+03,4.028980E+03,4.205715E-02,3.951116E-01
09:30:00,5.565908E+02,4.229229E+03,1.819729E-02,4.147507E-01
09:40:00,3.826009E+02,4.420051E+03,1.250791E-02,4.334669E-01
09:50:00,1.752251E+02,4.602322E+03,5.728449E-03,4.513460E-01
10:00:00,0.000000E+00,4.778014E+03,0.000000E+00,4.685809E-01
10:10:00,0.000000E+00,4.771731E+03,0.000000E+00,4.679705E-01
10:20:00,0.000000E+00,4.758042E+03,0.000000E+00,4.666342E-01
10:30:00,0.000000E+00,4.743881E+03,0.000000E+00,4.652505E-01
10:40:00,0.000000E+00,4.729989E+03,0.000000E+00,4.638918E-01
10:50:00,0.000000E+00,4.718787E+03,0.000000E+00,4.627955E-01
11:00:00,0.000000E+00,4.710437E+03,0.000000E+00,4.619781E-01
11:10:00,0.000000E+00,4.702632E+03,0.000000E+00,4.612135E-01
11:20:00,0.000000E+00,4.696673E+03,0.000000E+00,4.606297E-01
11:30:00,0.000000E+00,4.692582E+03,0.000000E+00,4.602289E-01
11:40:00,0.000000E+00,4.696081E+03,0.000000E+00,4.605724E-01
11:50:00,0.000000E+00,4.706430E+03,0.000000E+00,4.615876E-01
12:00:00,0.000000E+00,4.721827E+03,0.000000E+00,4.630980E-01
12:10:00,0.000000E+00,4.743656E+03,0.000000E+00,4.652392E-01
12:20:00,0.000000E+00,4.769185E+03,0.000000E+00,4.677431E-01
12:30:00,0.000000E+00,4.799455E+03,0.000000E+00,4.707121E-01
12:40:00,0.000000E+00,4.832289E+03,0.000000E+00,4.739325E-01
12:50:00,0.000000E+00,4.866980E+03,0.000000E+00,4.773350E-01
13:00:00,0.000000E+00,4.903571E+03,0.000000E+00,4.809237E-01
13:10:00,0.000000E+00,4.938220E+03,0.000000E+00,4.843220E-01
13:20:00,0.000000E+00,4.971383E+03,0.000000E+00,4.875745E-01
13:30:00,0.000000E+00,5.001253E+03,0.000000E+00,4.905040E-01
13:40:00,0.000000E+00,5.028623E+03,0.000000E+00,4.931884E-01
13:50:00,0.000000E+00,5.056993E+03,0.000000E+00,4.959707E-01
14:00:00,0.000000E+00,5.090849E+03,0.000000E+00,4.992911E-01
14:10:00,0.000000E+00,5.137019E+03,0.000000E+00,5.038193E-01
14:20:00,0.000000E+00,5.197904E+03,0.000000E+00,5.097907E-01
14:30:00,0.000000E+00,5.274091E+03,0.000000E+00,5.172629E-01
14:40:00,0.000000E+00,5.363977E+03,0.000000E+00,5.260788E-01
14:50:00,0.000000E+00,5.464846E+03,0.000000E+00,5.359719E-01
15:00:00,0.000000E+00,5.573364E+03,0.000000E+00,5.466152E-01
15:10:00,0.000000E+00,5.684334E+03,0.000000E+00,5.574989E-01
15:20:00,0.000000E+00,5.793835E+03,0.000000E+00,5.682384E-01
15:30:00,0.000000E+00,5.898863E+03,0.000000E+00,5.785391E-01
15:40:00,0.000000E+00,5.994074E+03,0.000000E+00,5.878769E-01
15:50:00,0.000000E+00,6.077108E+03,0.000000E+00,5.960204E-01
16:00:00,0.000000E+00,6.146481E+03,0.000000E+00,6.028238E-01
16:10:00,0.000000E+00,6.200505E+03,0.000000E+00,6.081218E-01
16:20:00,0.000000E+00,6.236694E+03,0.000000E+00,6.116707E-01
16:30:00,0.000000E+00,6.256085E+03,0.000000E+00,6.135721E-01
16:40:00,0.000000E+00,6.261806E+03,0.000000E+00,6.141327E-01
