Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,4.131451E+03,0.000000E+00,4.052173E-01
00:20:00,0.000000E+00,3.836207E+03,0.000000E+00,3.762572E-01
00:30:00,0.000000E+00,3.530773E+03,0.000000E+00,3.462969E-01
00:40:00,0.000000E+00,3.217211E+03,0.000000E+00,3.155390E-01
00:50:00,0.000000E+00,2.896559E+03,0.000000E+00,2.840851E-01
01:00:00,0.000000E+00,2.569426E+03,0.000000E+00,2.519951E-01
01:10:00,0.000000E+00,2.522766E+03,0.000000E+00,2.474141E-01
01:20:00,0.000000E+00,2.487322E+03,0.000000E+00,2.439354E-01
01:30:00,0.000000E+00,2.458656E+03,0.000000E+00,2.411218E-01
01:40:00,0.000000E+00,2.434815E+03,0.000000E+00,2.387819E-01
01:50:00,0.000000E+00,2.414853E+03,0.000000E+00,2.368230E-01
02:00:00,0.000000E+00,2.398039E+03,0.000000E+00,2.351731E-01
02:10:00,0.000000E+00,2.381405E+03,0.000000E+00,2.335411E-01
02:20:00,0.000000E+00,2.364568E+03,0.000000E+00,2.318892E-01
02:30:00,0.000000E+00,2.347220E+03,0.000000E+00,2.301875E-01
02:40:00,0.000000E+00,2.329095E+03,0.000000E+00,2.284096E-01
02:50:00,0.000000E+00,2.309981E+03,0.000000E+00,2.265349E-01
03:00:00,0.000000E+00,2.289907E+03,0.000000E+00,2.245661E-01
03:10:00,0.000000E+00,2.272601E+03,0.000000E+00,2.228687E-01
03:20:00,0.000000E+00,2.258162E+03,0.000000E+00,2.214525E-01
03:30:00,0.000000E+00,2.246691E+03,0.000000E+00,2.203275E-01
03:40:00,0.000000E+00,2.238273E+03,0.000000E+00,2.195019E-01
03:50:00,0.000000E+00,2.232967E+03,0.000000E+00,2.189814E-01
04:00:00,0.000000E+00,2.230816E+03,0.000000E+00,2.187705E-01
04:10:00,0.000000E+00,2.227442E+03,0.000000E+00,2.184396E-01
04:20:00,0.000000E+00,2.222660E+03,0.000000E+00,2.179705E-01
04:30:00,0.000000E+00,2.216319E+03,0.000000E+00,2.173487E-01
04:40:00,0.000000E+00,2.208387E+03,0.000000E+00,2.165708E-01
04:50:00,0.000000E+00,2.198796E+03,0.000000E+00,2.156302E-01
05:00:00,0.000000E+00,2.187499E+03,0.000000E+00,2.145223E-01
