Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.902451E+03,0.000000E+00,1.865868E-01
00:20:00,0.000000E+00,1.775515E+03,0.000000E+00,1.741367E-01
00:30:00,0.000000E+00,1.643805E+03,0.000000E+00,1.612181E-01
00:40:00,0.000000E+00,1.508329E+03,0.000000E+00,1.479300E-01
00:50:00,0.000000E+00,1.369598E+03,0.000000E+00,1.343223E-01
01:00:00,0.000000E+00,1.227806E+03,0.000000E+00,1.204143E-01
01:10:00,0.000000E+00,1.197385E+03,0.000000E+00,1.174292E-01
01:20:00,0.000000E+00,1.174076E+03,0.000000E+00,1.151421E-01
01:30:00,0.000000E+00,1.156677E+03,0.000000E+00,1.134349E-01
01:40:00,0.000000E+00,1.144474E+03,0.000000E+00,1.122375E-01
01:50:00,0.000000E+00,1.137148E+03,0.000000E+00,1.115185E-01
02:00:00,0.000000E+00,1.134670E+03,0.000000E+00,1.112751E-01
02:10:00,0.000000E+00,1.131727E+03,0.000000E+00,1.109863E-01
02:20:00,0.000000E+00,1.127772E+03,0.000000E+00,1.105982E-01
02:30:00,0.000000E+00,1.122382E+03,0.000000E+00,1.100695E-01
02:40:00,0.000000E+00,1.115214E+03,0.000000E+00,1.093664E-01
02:50:00,0.000000E+00,1.106080E+03,0.000000E+00,1.084705E-01
03:00:00,0.000000E+00,1.094733E+03,0.000000E+00,1.073577E-01
03:10:00,0.000000E+00,1.083396E+03,0.000000E+00,1.062459E-01
03:20:00,0.000000E+00,1.072193E+03,0.000000E+00,1.051471E-01
03:30:00,0.000000E+00,1.061245E+03,0.000000E+00,1.040735E-01
03:40:00,0.000000E+00,1.050632E+03,0.000000E+00,1.030327E-01
03:50:00,0.000000E+00,1.040377E+03,0.000000E+00,1.020270E-01
04:00:00,0.000000E+00,1.030575E+03,0.000000E+00,1.010657E-01
04:10:00,0.000000E+00,1.022594E+03,0.000000E+00,1.002831E-01
04:20:00,0.000000E+00,1.016626E+03,0.000000E+00,9.969778E-02
04:30:00,0.000000E+00,1.012753E+03,0.000000E+00,9.931795E-02
04:40:00,0.000000E+00,1.011215E+03,0.000000E+00,9.916703E-02
04:50:00,0.000000E+00,1.012036E+03,0.000000E+00,9.924757E-02
05:00:00,0.000000E+00,1.015216E+03,0.000000E+00,9.955947E-02
05:10:00,0.000000E+00,1.017823E+03,0.000000E+00,9.981508E-02
05:20:00,0.000000E+00,1.019573E+03,0.000000E+00,9.998674E-02
05:30:00,0.000000E+00,1.020299E+03,0.000000E+00,1.000579E-01
05:40:00,0.000000E+00,1.023144E+03,0.000000E+00,1.003370E-01
05:50:00,0.000000E+00,1.029333E+03,0.000000E+00,1.009439E-01
06:00:00,0.000000E+00,1.039660E+03,0.000000E+00,1.019566E-01
06:10:00,0.000000E+00,1.056864E+03,0.000000E+00,1.036437E-01
06:20:00,0.000000E+00,1.082926E+03,0.000000E+00,1.061996E-01
06:30:00,0.000000E+00,1.117360E+03,0.000000E+00,1.095764E-01
06:40:00,0.000000E+00,1.157207E+03,0.000000E+00,1.134842E-01
06:50:00,0.000000E+00,1.201790E+03,0.000000E+00,1.178563E-01
07:00:00,0.000000E+00,1.250396E+03,0.000000E+00,1.226229E-01
07:10:00,0.000000E+00,1.300656E+03,0.000000E+00,1.275518E-01
07:20:00,0.000000E+00,1.350538E+03,0.000000E+00,1.324436E-01
07:30:00,0.000000E+00,1.400437E+03,0.000000E+00,1.373371E-01
07:40:00,0.000000E+00,1.449538E+03,0.000000E+00,1.421523E-01
07:50:00,0.000000E+00,1.496828E+03,0.000000E+00,1.467898E-01
08:00:00,0.000000E+00,1.544010E+03,0.000000E+00,1.514168E-01
08:10:00,1.440939E+02,1.591084E+03,4.567666E-03,1.560333E-01
08:20:00,1.440939E+02,1.637491E+03,4.567666E-03,1.605843E-01
08:30:00,1.934888E+02,1.682583E+03,6.189578E-03,1.650063E-01
08:40:00,1.934888E+02,1.722463E+03,6.189578E-03,1.689173E-01
08:50:00,1.934888E+02,1.754964E+03,6.189578E-03,1.721045E-01
09:00:00,1.934888E+02,1.778573E+03,6.189578E-03,1.744198E-01
09:10:00,4.939491E+01,1.855857E+03,1.621913E-03,1.819988E-01
09:20:00,4.939491E+01,1.931110E+03,1.621913E-03,1.893787E-01
09:30:00,0.000000E+00,2.004778E+03,0.000000E+00,1.966035E-01
09:40:00,0.000000E+00,2.082744E+03,0.000000E+00,2.042504E-01
09:50:00,0.000000E+00,2.168167E+03,0.000000E+00,2.126293E-01
10:00:00,0.000000E+00,2.259492E+03,0.000000E+00,2.215873E-01
10:10:00,0.000000E+00,2.293118E+03,0.000000E+00,2.248871E-01
10:20:00,0.000000E+00,2.325634E+03,0.000000E+00,2.280783E-01
10:30:00,0.000000E+00,2.357452E+03,0.000000E+00,2.312007E-01
10:40:00,0.000000E+00,2.386257E+03,0.000000E+00,2.340271E-01
10:50:00,0.000000E+00,2.411140E+03,0.000000E+00,2.364683E-01
11:00:00,0.000000E+00,2.432972E+03,0.000000E+00,2.386098E-01
11:10:00,0.000000E+00,2.454777E+03,0.000000E+00,2.407486E-01
11:20:00,0.000000E+00,2.475933E+03,0.000000E+00,2.428236E-01
11:30:00,0.000000E+00,2.496015E+03,0.000000E+00,2.447931E-01
11:40:00,0.000000E+00,2.516217E+03,0.000000E+00,2.467744E-01
11:50:00,0.000000E+00,2.534237E+03,0.000000E+00,2.485417E-01
12:00:00,0.000000E+00,2.553223E+03,0.000000E+00,2.504038E-01
12:10:00,0.000000E+00,2.569850E+03,0.000000E+00,2.520345E-01
12:20:00,0.000000E+00,2.580667E+03,0.000000E+00,2.530953E-01
12:30:00,0.000000E+00,2.587594E+03,0.000000E+00,2.537746E-01
12:40:00,0.000000E+00,2.592362E+03,0.000000E+00,2.542421E-01
12:50:00,0.000000E+00,2.599513E+03,0.000000E+00,2.549434E-01
13:00:00,0.000000E+00,2.608010E+03,0.000000E+00,2.557766E-01
13:10:00,0.000000E+00,2.620926E+03,0.000000E+00,2.570433E-01
13:20:00,0.000000E+00,2.643796E+03,0.000000E+00,2.592864E-01
13:30:00,0.000000E+00,2.676419E+03,0.000000E+00,2.624859E-01
13:40:00,0.000000E+00,2.717934E+03,0.000000E+00,2.665574E-01
13:50:00,0.000000E+00,2.766544E+03,0.000000E+00,2.713250E-01
14:00:00,0.000000E+00,2.819266E+03,0.000000E+00,2.764957E-01
14:10:00,0.000000E+00,2.872029E+03,0.000000E+00,2.816704E-01
14:20:00,0.000000E+00,2.921914E+03,0.000000E+00,2.865629E-01
14:30:00,0.000000E+00,2.965062E+03,0.000000E+00,2.907945E-01
14:40:00,0.000000E+00,2.993342E+03,0.000000E+00,2.935680E-01
14:50:00,0.000000E+00,3.002929E+03,0.000000E+00,2.945080E-01
15:00:00,0.000000E+00,2.992503E+03,0.000000E+00,2.934853E-01
15:10:00,0.000000E+00,2.963990E+03,0.000000E+00,2.906886E-01
15:20:00,0.000000E+00,2.915203E+03,0.000000E+00,2.859036E-01
15:30:00,0.000000E+00,2.847393E+03,0.000000E+00,2.792530E-01
15:40:00,0.000000E+00,2.774726E+03,0.000000E+00,2.721261E-01
15:50:00,0.000000E+00,2.703258E+03,0.000000E+00,2.651168E-01
16:00:00,0.000000E+00,2.636685E+03,0.000000E+00,2.585876E-01
16:10:00,0.000000E+00,2.572885E+03,0.000000E+00,2.523305E-01
16:20:00,0.000000E+00,2.515348E+03,0.000000E+00,2.466878E-01
16:30:00,0.000000E+00,2.465286E+03,0.000000E+00,2.417781E-01
16:40:00,0.000000E+00,2.415881E+03,0.000000E+00,2.369328E-01
16:50:00,0.000000E+00,2.365008E+03,0.000000E+00,2.319437E-01
17:00:00,0.000000E+00,2.311675E+03,0.000000E+00,2.267131E-01
17:10:00,0.000000E+00,2.262500E+03,0.000000E+00,2.218905E-01
17:20:00,0.000000E+00,2.217763E+03,0.000000E+00,2.175030E-01
17:30:00,0.000000E+00,2.177606E+03,0.000000E+00,2.135646E-01
17:40:00,0.000000E+00,2.142355E+03,0.000000E+00,2.101075E-01
17:50:00,0.000000E+00,2.112126E+03,0.000000E+00,2.071429E-01
18:00:00,0.000000E+00,2.086962E+03,0.000000E+00,2.046751E-01
18:10:00,0.000000E+00,2.109451E+03,0.000000E+00,2.068808E-01
18:20:00,0.000000E+00,2.136446E+03,0.000000E+00,2.095287E-01
18:30:00,0.000000E+00,2.167766E+03,0.000000E+00,2.126009E-01
18:40:00,0.000000E+00,2.202419E+03,0.000000E+00,2.160002E-01
18:50:00,0.000000E+00,2.240016E+03,0.000000E+00,2.196886E-01
19:00:00,0.000000E+00,2.280356E+03,0.000000E+00,2.236460E-01
19:10:00,0.000000E+00,2.277016E+03,0.000000E+00,2.233197E-01
19:20:00,0.000000E+00,2.272753E+03,0.000000E+00,2.229026E-01
19:30:00,0.000000E+00,2.267593E+03,0.000000E+00,2.223972E-01
19:40:00,0.000000E+00,2.261567E+03,0.000000E+00,2.218068E-01
19:50:00,0.000000E+00,2.254596E+03,0.000000E+00,2.211234E-01
20:00:00,0.000000E+00,2.246805E+03,0.000000E+00,2.203594E-01
20:10:00,0.000000E+00,2.237971E+03,0.000000E+00,2.194931E-01
20:20:00,0.000000E+00,2.228231E+03,0.000000E+00,2.185379E-01
20:30:00,0.000000E+00,2.217478E+03,0.000000E+00,2.174833E-01
20:40:00,0.000000E+00,2.205722E+03,0.000000E+00,2.163304E-01
20:50:00,0.000000E+00,2.193077E+03,0.000000E+00,2.150902E-01
21:00:00,0.000000E+00,2.179449E+03,0.000000E+00,2.137535E-01
21:10:00,0.000000E+00,2.166462E+03,0.000000E+00,2.124798E-01
21:20:00,0.000000E+00,2.154076E+03,0.000000E+00,2.112650E-01
21:30:00,0.000000E+00,2.142502E+03,0.000000E+00,2.101299E-01
21:40:00,0.000000E+00,2.131807E+03,0.000000E+00,2.090810E-01
21:50:00,0.000000E+00,2.122043E+03,0.000000E+00,2.081234E-01
22:00:00,0.000000E+00,2.113236E+03,0.000000E+00,2.072597E-01
22:10:00,0.000000E+00,2.104932E+03,0.000000E+00,2.064454E-01
22:20:00,0.000000E+00,2.097156E+03,0.000000E+00,2.056827E-01
22:30:00,0.000000E+00,2.089744E+03,0.000000E+00,2.049558E-01
22:40:00,0.000000E+00,2.082830E+03,0.000000E+00,2.042777E-01
22:50:00,0.000000E+00,2.076416E+03,0.000000E+00,2.036487E-01
23:00:00,0.000000E+00,2.070525E+03,0.000000E+00,2.030710E-01
23:10:00,0.000000E+00,2.064114E+03,0.000000E+00,2.024422E-01
23:20:00,0.000000E+00,2.057116E+03,0.000000E+00,2.017558E-01
23:30:00,0.000000E+00,2.049629E+03,0.000000E+00,2.010216E-01
23:40:00,0.000000E+00,2.041479E+03,0.000000E+00,2.002223E-01
23:50:00,0.000000E+00,2.032634E+03,0.000000E+00,1.993547E-01
24:00:00,0.000000E+00,2.023063E+03,0.000000E+00,1.984161E-01
Peak,1.934888E+02,3.002929E+03,6.189578E-03,2.945080E-01

Peak Vol Flow (m3/s),,,5.143186E-03,2.447193E-01
