Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.729085E+03,0.000000E+00,1.695841E-01
00:20:00,0.000000E+00,1.605032E+03,0.000000E+00,1.574167E-01
00:30:00,0.000000E+00,1.476276E+03,0.000000E+00,1.447879E-01
00:40:00,0.000000E+00,1.343712E+03,0.000000E+00,1.317853E-01
00:50:00,0.000000E+00,1.207697E+03,0.000000E+00,1.184442E-01
01:00:00,0.000000E+00,1.068535E+03,0.000000E+00,1.047943E-01
01:10:00,0.000000E+00,1.039395E+03,0.000000E+00,1.019350E-01
01:20:00,0.000000E+00,1.017029E+03,0.000000E+00,9.974059E-02
01:30:00,0.000000E+00,1.000391E+03,0.000000E+00,9.810814E-02
01:40:00,0.000000E+00,9.888752E+02,0.000000E+00,9.697822E-02
01:50:00,0.000000E+00,9.823129E+02,0.000000E+00,9.633423E-02
02:00:00,0.000000E+00,9.805656E+02,0.000000E+00,9.616256E-02
02:10:00,0.000000E+00,9.783947E+02,0.000000E+00,9.594944E-02
02:20:00,0.000000E+00,9.752386E+02,0.000000E+00,9.563975E-02
02:30:00,0.000000E+00,9.706900E+02,0.000000E+00,9.519352E-02
02:40:00,0.000000E+00,9.644113E+02,0.000000E+00,9.457766E-02
02:50:00,0.000000E+00,9.561783E+02,0.000000E+00,9.377018E-02
03:00:00,0.000000E+00,9.458336E+02,0.000000E+00,9.275562E-02
03:10:00,0.000000E+00,9.354811E+02,0.000000E+00,9.174031E-02
03:20:00,0.000000E+00,9.252625E+02,0.000000E+00,9.073815E-02
03:30:00,0.000000E+00,9.153008E+02,0.000000E+00,8.976118E-02
03:40:00,0.000000E+00,9.056744E+02,0.000000E+00,8.881711E-02
03:50:00,0.000000E+00,8.964352E+02,0.000000E+00,8.791103E-02
04:00:00,0.000000E+00,8.875872E+02,0.000000E+00,8.704330E-02
04:10:00,0.000000E+00,8.805540E+02,0.000000E+00,8.635356E-02
04:20:00,0.000000E+00,8.755027E+02,0.000000E+00,8.585819E-02
04:30:00,0.000000E+00,8.725288E+02,0.000000E+00,8.556653E-02
04:40:00,0.000000E+00,8.718619E+02,0.000000E+00,8.550112E-02
04:50:00,0.000000E+00,8.735221E+02,0.000000E+00,8.566393E-02
05:00:00,0.000000E+00,8.775076E+02,0.000000E+00,8.605477E-02
05:10:00,0.000000E+00,8.809228E+02,0.000000E+00,8.638969E-02
05:20:00,0.000000E+00,8.834925E+02,0.000000E+00,8.664169E-02
05:30:00,0.000000E+00,8.850397E+02,0.000000E+00,8.679342E-02
05:40:00,0.000000E+00,8.887082E+02,0.000000E+00,8.715318E-02
05:50:00,0.000000E+00,8.956974E+02,0.000000E+00,8.783859E-02
06:00:00,0.000000E+00,9.067972E+02,0.000000E+00,8.892711E-02
06:10:00,0.000000E+00,9.247396E+02,0.000000E+00,9.068668E-02
06:20:00,0.000000E+00,9.515106E+02,0.000000E+00,9.331204E-02
06:30:00,0.000000E+00,9.866752E+02,0.000000E+00,9.676054E-02
06:40:00,0.000000E+00,1.027243E+03,0.000000E+00,1.007389E-01
06:50:00,0.000000E+00,1.071970E+03,0.000000E+00,1.051252E-01
07:00:00,0.000000E+00,1.119906E+03,0.000000E+00,1.098261E-01
07:10:00,0.000000E+00,1.169255E+03,0.000000E+00,1.146657E-01
