Time,ZONE:MYSIMULATION:Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE:MYSIMULATION:Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.381629E+03,0.000000E+00,2.335826E-01
00:20:00,0.000000E+00,2.289347E+03,0.000000E+00,2.245312E-01
00:30:00,0.000000E+00,2.191608E+03,0.000000E+00,2.149441E-01
00:40:00,0.000000E+00,2.089204E+03,0.000000E+00,2.048990E-01
00:50:00,0.000000E+00,1.982553E+03,0.000000E+00,1.944369E-01
01:00:00,0.000000E+00,1.871911E+03,0.000000E+00,1.835831E-01
01:10:00,0.000000E+00,1.844571E+03,0.000000E+00,1.808991E-01
01:20:00,0.000000E+00,1.822382E+03,0.000000E+00,1.787210E-01
01:30:00,0.000000E+00,1.803551E+03,0.000000E+00,1.768725E-01
01:40:00,0.000000E+00,1.787276E+03,0.000000E+00,1.752753E-01
01:50:00,0.000000E+00,1.773130E+03,0.000000E+00,1.738873E-01
02:00:00,0.000000E+00,1.760842E+03,0.000000E+00,1.726818E-01
02:10:00,0.000000E+00,1.748656E+03,0.000000E+00,1.714864E-01
02:20:00,0.000000E+00,1.736314E+03,0.000000E+00,1.702759E-01
02:30:00,0.000000E+00,1.723640E+03,0.000000E+00,1.690328E-01
02:40:00,0.000000E+00,1.710507E+03,0.000000E+00,1.677448E-01
02:50:00,0.000000E+00,1.696829E+03,0.000000E+00,1.664035E-01
03:00:00,0.000000E+00,1.682548E+03,0.000000E+00,1.650029E-01
03:10:00,0.000000E+00,1.669945E+03,0.000000E+00,1.637669E-01
03:20:00,0.000000E+00,1.659181E+03,0.000000E+00,1.627113E-01
03:30:00,0.000000E+00,1.650363E+03,0.000000E+00,1.618465E-01
03:40:00,0.000000E+00,1.643570E+03,0.000000E+00,1.611803E-01
03:50:00,0.000000E+00,1.638858E+03,0.000000E+00,1.607183E-01
