Time,ZONE::Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.880756E+03,0.000000E+00,1.844590E-01
00:20:00,0.000000E+00,1.749044E+03,0.000000E+00,1.715404E-01
00:30:00,0.000000E+00,1.614836E+03,0.000000E+00,1.583769E-01
00:40:00,0.000000E+00,1.479030E+03,0.000000E+00,1.450564E-01
00:50:00,0.000000E+00,1.341964E+03,0.000000E+00,1.316121E-01
01:00:00,0.000000E+00,1.203910E+03,0.000000E+00,1.180708E-01
01:10:00,0.000000E+00,1.183681E+03,0.000000E+00,1.160853E-01
01:20:00,0.000000E+00,1.166718E+03,0.000000E+00,1.144207E-01
01:30:00,0.000000E+00,1.151599E+03,0.000000E+00,1.129371E-01
01:40:00,0.000000E+00,1.137303E+03,0.000000E+00,1.115344E-01
01:50:00,0.000000E+00,1.123500E+03,0.000000E+00,1.101802E-01
02:00:00,0.000000E+00,1.109916E+03,0.000000E+00,1.088477E-01
02:10:00,0.000000E+00,1.096775E+03,0.000000E+00,1.075587E-01
02:20:00,0.000000E+00,1.083991E+03,0.000000E+00,1.063047E-01
02:30:00,0.000000E+00,1.071132E+03,0.000000E+00,1.050435E-01
02:40:00,0.000000E+00,1.058481E+03,0.000000E+00,1.038028E-01
02:50:00,0.000000E+00,1.046021E+03,0.000000E+00,1.025807E-01
03:00:00,0.000000E+00,1.033733E+03,0.000000E+00,1.013756E-01
03:10:00,0.000000E+00,1.022395E+03,0.000000E+00,1.002637E-01
03:20:00,0.000000E+00,1.012098E+03,0.000000E+00,9.925382E-02
03:30:00,0.000000E+00,1.003084E+03,0.000000E+00,9.836981E-02
03:40:00,0.000000E+00,9.952300E+02,0.000000E+00,9.759955E-02
03:50:00,0.000000E+00,9.885735E+02,0.000000E+00,9.694674E-02
04:00:00,0.000000E+00,9.831530E+02,0.000000E+00,9.641515E-02
04:10:00,0.000000E+00,9.776552E+02,0.000000E+00,9.587599E-02
04:20:00,0.000000E+00,9.718651E+02,0.000000E+00,9.530816E-02
04:30:00,0.000000E+00,9.656905E+02,0.000000E+00,9.470263E-02
04:40:00,0.000000E+00,9.590383E+02,0.000000E+00,9.405026E-02
04:50:00,0.000000E+00,9.518288E+02,0.000000E+00,9.334324E-02
05:00:00,0.000000E+00,9.439803E+02,0.000000E+00,9.257355E-02
05:10:00,0.000000E+00,9.367762E+02,0.000000E+00,9.186707E-02
05:20:00,0.000000E+00,9.303951E+02,0.000000E+00,9.124129E-02
05:30:00,0.000000E+00,9.249200E+02,0.000000E+00,9.070436E-02
05:40:00,0.000000E+00,9.229628E+02,0.000000E+00,9.051242E-02
05:50:00,0.000000E+00,9.257082E+02,0.000000E+00,9.078165E-02
06:00:00,0.000000E+00,9.338346E+02,0.000000E+00,9.157858E-02
06:10:00,0.000000E+00,9.485248E+02,0.000000E+00,9.301921E-02
06:20:00,0.000000E+00,9.693905E+02,0.000000E+00,9.506546E-02
06:30:00,0.000000E+00,9.963919E+02,0.000000E+00,9.771342E-02
06:40:00,0.000000E+00,1.029535E+03,0.000000E+00,1.009637E-01
06:50:00,0.000000E+00,1.068490E+03,0.000000E+00,1.047839E-01
07:00:00,0.000000E+00,1.115622E+03,0.000000E+00,1.094061E-01
07:10:00,0.000000E+00,1.170309E+03,0.000000E+00,1.147690E-01
07:20:00,0.000000E+00,1.232995E+03,0.000000E+00,1.209165E-01
07:30:00,0.000000E+00,1.303767E+03,0.000000E+00,1.278569E-01
07:40:00,0.000000E+00,1.377091E+03,0.000000E+00,1.350476E-01
07:50:00,0.000000E+00,1.450974E+03,0.000000E+00,1.422931E-01
08:00:00,0.000000E+00,1.521706E+03,0.000000E+00,1.492296E-01
08:10:00,0.000000E+00,1.586756E+03,0.000000E+00,1.556089E-01
08:20:00,0.000000E+00,1.645350E+03,0.000000E+00,1.613551E-01
08:30:00,0.000000E+00,1.696843E+03,0.000000E+00,1.664048E-01
08:40:00,0.000000E+00,1.744955E+03,0.000000E+00,1.711230E-01
08:50:00,0.000000E+00,1.789353E+03,0.000000E+00,1.754770E-01
09:00:00,0.000000E+00,1.829233E+03,0.000000E+00,1.793878E-01
09:10:00,0.000000E+00,1.923310E+03,0.000000E+00,1.886137E-01
