Time,ZONE::Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.719447E+03,0.000000E+00,1.686387E-01
00:20:00,0.000000E+00,1.591169E+03,0.000000E+00,1.560570E-01
00:30:00,0.000000E+00,1.460345E+03,0.000000E+00,1.432253E-01
00:40:00,0.000000E+00,1.327726E+03,0.000000E+00,1.302175E-01
00:50:00,0.000000E+00,1.193736E+03,0.000000E+00,1.170750E-01
01:00:00,0.000000E+00,1.058657E+03,0.000000E+00,1.038256E-01
01:10:00,0.000000E+00,1.039334E+03,0.000000E+00,1.019291E-01
01:20:00,0.000000E+00,1.023105E+03,0.000000E+00,1.003366E-01
01:30:00,0.000000E+00,1.008698E+03,0.000000E+00,9.892292E-02
01:40:00,0.000000E+00,9.952409E+02,0.000000E+00,9.760261E-02
01:50:00,0.000000E+00,9.823180E+02,0.000000E+00,9.633483E-02
02:00:00,0.000000E+00,9.696490E+02,0.000000E+00,9.509206E-02
02:10:00,0.000000E+00,9.574297E+02,0.000000E+00,9.389348E-02
02:20:00,0.000000E+00,9.455686E+02,0.000000E+00,9.273009E-02
02:30:00,0.000000E+00,9.336257E+02,0.000000E+00,9.155872E-02
02:40:00,0.000000E+00,9.218824E+02,0.000000E+00,9.040695E-02
02:50:00,0.000000E+00,9.103205E+02,0.000000E+00,8.927301E-02
03:00:00,0.000000E+00,8.989214E+02,0.000000E+00,8.815504E-02
03:10:00,0.000000E+00,8.884624E+02,0.000000E+00,8.712930E-02
03:20:00,0.000000E+00,8.790342E+02,0.000000E+00,8.620466E-02
03:30:00,0.000000E+00,8.708815E+02,0.000000E+00,8.540510E-02
03:40:00,0.000000E+00,8.638771E+02,0.000000E+00,8.471817E-02
03:50:00,0.000000E+00,8.580749E+02,0.000000E+00,8.414914E-02
04:00:00,0.000000E+00,8.535107E+02,0.000000E+00,8.370152E-02
04:10:00,0.000000E+00,8.488552E+02,0.000000E+00,8.324496E-02
04:20:00,0.000000E+00,8.438941E+02,0.000000E+00,8.275842E-02
04:30:00,0.000000E+00,8.385388E+02,0.000000E+00,8.223323E-02
04:40:00,0.000000E+00,8.326974E+02,0.000000E+00,8.166037E-02
04:50:00,0.000000E+00,8.262738E+02,0.000000E+00,8.103042E-02
05:00:00,0.000000E+00,8.191897E+02,0.000000E+00,8.033570E-02
05:10:00,0.000000E+00,8.127547E+02,0.000000E+00,7.970463E-02
05:20:00,0.000000E+00,8.071473E+02,0.000000E+00,7.915472E-02
05:30:00,0.000000E+00,8.024485E+02,0.000000E+00,7.869392E-02
05:40:00,0.000000E+00,8.012446E+02,0.000000E+00,7.857586E-02
05:50:00,0.000000E+00,8.047117E+02,0.000000E+00,7.891586E-02
06:00:00,0.000000E+00,8.135247E+02,0.000000E+00,7.978013E-02
06:10:00,0.000000E+00,8.288521E+02,0.000000E+00,8.128325E-02
06:20:00,0.000000E+00,8.503206E+02,0.000000E+00,8.338861E-02
06:30:00,0.000000E+00,8.779035E+02,0.000000E+00,8.609360E-02
06:40:00,0.000000E+00,9.116563E+02,0.000000E+00,8.940365E-02
06:50:00,0.000000E+00,9.513589E+02,0.000000E+00,9.329718E-02
07:00:00,0.000000E+00,9.988041E+02,0.000000E+00,9.795001E-02
07:10:00,0.000000E+00,1.052579E+03,0.000000E+00,1.032236E-01
07:20:00,0.000000E+00,1.114160E+03,0.000000E+00,1.092627E-01
07:30:00,0.000000E+00,1.183556E+03,0.000000E+00,1.160682E-01
07:40:00,0.000000E+00,1.255312E+03,0.000000E+00,1.231051E-01
07:50:00,0.000000E+00,1.327378E+03,0.000000E+00,1.301725E-01
08:00:00,0.000000E+00,1.396640E+03,0.000000E+00,1.369647E-01
08:10:00,0.000000E+00,1.461377E+03,0.000000E+00,1.433133E-01
08:20:00,0.000000E+00,1.519772E+03,0.000000E+00,1.490400E-01
08:30:00,0.000000E+00,1.571243E+03,0.000000E+00,1.540875E-01
08:40:00,0.000000E+00,1.619382E+03,0.000000E+00,1.588084E-01
08:50:00,0.000000E+00,1.663810E+03,0.000000E+00,1.631654E-01
09:00:00,0.000000E+00,1.703710E+03,0.000000E+00,1.670782E-01
09:10:00,0.000000E+00,1.797712E+03,0.000000E+00,1.762967E-01
09:20:00,0.000000E+00,1.887098E+03,0.000000E+00,1.850625E-01
09:30:00,0.000000E+00,1.970021E+03,0.000000E+00,1.931950E-01
09:40:00,0.000000E+00,2.043339E+03,0.000000E+00,2.003861E-01
09:50:00,0.000000E+00,2.107495E+03,0.000000E+00,2.066791E-01
10:00:00,0.000000E+00,2.163789E+03,0.000000E+00,2.122015E-01
10:10:00,0.000000E+00,2.155731E+03,0.000000E+00,2.114132E-01
10:20:00,0.000000E+00,2.143778E+03,0.000000E+00,2.102430E-01
10:30:00,0.000000E+00,2.131785E+03,0.000000E+00,2.090685E-01
10:40:00,0.000000E+00,2.124433E+03,0.000000E+00,2.083487E-01
10:50:00,0.000000E+00,2.124023E+03,0.000000E+00,2.083092E-01
11:00:00,0.000000E+00,2.131308E+03,0.000000E+00,2.090242E-01
11:10:00,0.000000E+00,2.144111E+03,0.000000E+00,2.102801E-01
11:20:00,0.000000E+00,2.161578E+03,0.000000E+00,2.119935E-01
11:30:00,0.000000E+00,2.180654E+03,0.000000E+00,2.138646E-01
11:40:00,0.000000E+00,2.198167E+03,0.000000E+00,2.155822E-01
11:50:00,0.000000E+00,2.214264E+03,0.000000E+00,2.171611E-01
12:00:00,0.000000E+00,2.230154E+03,0.000000E+00,2.187195E-01
12:10:00,0.000000E+00,2.248073E+03,0.000000E+00,2.204769E-01
12:20:00,0.000000E+00,2.267173E+03,0.000000E+00,2.223501E-01
12:30:00,0.000000E+00,2.288732E+03,0.000000E+00,2.244645E-01
12:40:00,0.000000E+00,2.315055E+03,0.000000E+00,2.270461E-01
12:50:00,0.000000E+00,2.348200E+03,0.000000E+00,2.302968E-01
13:00:00,0.000000E+00,2.386550E+03,0.000000E+00,2.340580E-01
13:10:00,0.000000E+00,2.428955E+03,0.000000E+00,2.382169E-01
13:20:00,0.000000E+00,2.477960E+03,0.000000E+00,2.430230E-01
13:30:00,0.000000E+00,2.533186E+03,0.000000E+00,2.484393E-01
13:40:00,0.000000E+00,2.589875E+03,0.000000E+00,2.539991E-01
13:50:00,0.000000E+00,2.643966E+03,0.000000E+00,2.593040E-01
14:00:00,0.000000E+00,2.695187E+03,0.000000E+00,2.643274E-01
14:10:00,0.000000E+00,2.741774E+03,0.000000E+00,2.688963E-01
14:20:00,0.000000E+00,2.781730E+03,0.000000E+00,2.728148E-01
14:30:00,0.000000E+00,2.815514E+03,0.000000E+00,2.761280E-01
14:40:00,0.000000E+00,2.844819E+03,0.000000E+00,2.790019E-01
14:50:00,0.000000E+00,2.869057E+03,0.000000E+00,2.813789E-01
15:00:00,0.000000E+00,2.886149E+03,0.000000E+00,2.830550E-01
15:10:00,0.000000E+00,2.897861E+03,0.000000E+00,2.842035E-01
15:20:00,0.000000E+00,2.903747E+03,0.000000E+00,2.847806E-01
15:30:00,0.000000E+00,2.901730E+03,0.000000E+00,2.845827E-01
15:40:00,0.000000E+00,2.893788E+03,0.000000E+00,2.838037E-01
15:50:00,0.000000E+00,2.880879E+03,0.000000E+00,2.825375E-01
16:00:00,0.000000E+00,2.864852E+03,0.000000E+00,2.809656E-01
16:10:00,0.000000E+00,2.844288E+03,0.000000E+00,2.789488E-01
16:20:00,0.000000E+00,2.819202E+03,0.000000E+00,2.764884E-01
16:30:00,0.000000E+00,2.791495E+03,0.000000E+00,2.737710E-01
16:40:00,0.000000E+00,2.759665E+03,0.000000E+00,2.706494E-01
16:50:00,0.000000E+00,2.723306E+03,0.000000E+00,2.670834E-01
17:00:00,0.000000E+00,2.682336E+03,0.000000E+00,2.630653E-01
17:10:00,0.000000E+00,2.638278E+03,0.000000E+00,2.587443E-01
17:20:00,0.000000E+00,2.591339E+03,0.000000E+00,2.541408E-01
17:30:00,0.000000E+00,2.541764E+03,0.000000E+00,2.492789E-01
17:40:00,0.000000E+00,2.491048E+03,0.000000E+00,2.443049E-01
17:50:00,0.000000E+00,2.439779E+03,0.000000E+00,2.392767E-01
